Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Pakistan's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Pakistan (%)	
"Mozambique"	117204	73717	0.4	19	4	108	0.04	8	6196	0.1		
"Chile"	115361	79379	0.4	10	116	43	0.4	6	11582	0.13		
"Tanzania, United Republic of"	111517	18910	0.4	0	13	102	0.05	7	6633	0.1		
"Egypt"	105939	-412068	0.4	5	49	46	0.3	-1	5219	0.05		
"Mexico"	99830	8590	0.3	-3	51	13	2.3	2	7039	0.24		
"Brazil"	99504	-1366753	0.3	17	52	26	1	6	10879	0.09		
"Greece"	90212	54680	0.3	4	25	45	0.3	4	2847	0.05		
"Slovenia"	88800	83863	0.3	8	31	55	0.2	10	2404	0.07		
"Madagascar"	88673	84620	0.3	-18	85	138	0.02	2	7339	0.08		
"Ireland"	86860	6255	0.3	7	46	36	0.5	4	3265	0.1		
"Yemen"	82939	38246	0.3	7	41	107	0.04	11	5706	0.11		
"Singapore"	75081	-793999	0.3	-3	21	16	1.9	3	5773	0.07		
"Hong Kong, China"	72062	5724	0.2	-12	-14	5	3.3	3	2841	0.22		
"Somalia"	70095	62466	0.2	13	5	150	0.01	9	5305	0.16		
"Asia not elsewhere specified"	66094	-623736	0.2	-7	26							
"Bahrain"	62079	-253206	0.2	9	-8	101	0.05	1	6359	0.08		
"Ukraine"	61882	-679802	0.2	8	20	48	0.3	7	3255	0.06		
"Norway"	60686	4789	0.2	5	7	39	0.5	3	3470	0.06		
"Djibouti"	55537	55295	0.2	9	22	130	0.02	5	6387	0.22		
"Czech Republic"	55342	10887	0.2	9	3	28	1	4	2987	0.1		
"Ghana"	54609	52059	0.2	19	7	82	0.08	8	8888	0.18		
"New Zealand"	54004	73	0.2	7	35	56	0.2	3	11141	0.09		
"Colombia"	52420	51370	0.2	5	93	51	0.3	4	8915	0.13		
"Romania"	50967	4424	0.2	19	59	37	0.5	6	1891	0.07		
"Uzbekistan"	48937	11240	0.2	72	94	74	0.1	16	3412	0.12		
"Argentina"	44790	-109761	0.2	-2	42	50	0.3	-5	10631	0.1		
"Iraq"	44420	-74054	0.2	16	70	62	0.2	3	4107	0.18		
"Côte d'Ivoire"	41383	-135192	0.1	0	71	93	0.06	9	6793	0.08		
"Bulgaria"	40191	-72524	0.1	25	31	57	0.2	6	2237	0.05		
"Nigeria"	39646	-35049	0.1	-12	32	53	0.2	17	7792	0.1		
"Jordan"	34540	7780	0.1	-5	3	84	0.08	0	5167	0.07		
"Lithuania"	33086	19881	0.1	-4	-4	59	0.2	7	1630	0.07		
"Finland"	32454	-37587	0.1	-1	15	44	0.4	3	2842	0.07		
"Peru"	31976	27601	0.1	-5	71	54	0.2	3	10420	0.13		
"Morocco"	29076	-558445	0.1	5	18	52	0.3	4	4316	0.07		
"Cambodia"	26590	25697	0.1	-2	16	66	0.1	16	2651	0.18		
"Hungary"	24835	-12286	0.1	13	81	33	0.6	6	2180	0.09		
"Sudan"	24714	786	0.1		28	122	0.03	-2		0.13		
"Tunisia"	24583	22155	0.1	0	83	78	0.10	-1	3411	0.06		
"Guinea"	24071	24015	0.1	9	329	135	0.02	7	9140	0.19		
"Slovakia"	23644	10442	0.1	78	13	38	0.5	4	2664	0.07		
"Angola"	23433	-300195	0.1	16	-7	100	0.05	-11	7692	0.06		
"Senegal"	23226	22261	0.1	1	-33	110	0.04	4	6632	0.05		
"Benin"	21900	-26895	0.1	-13	-63	149	0.01	-2	6481	0.07		
"Papua New Guinea"	21119	20990	0.1	-29	2222	143	0.02	-1	4973	0.17		
"Mauritius"	19476	5742	0.1	-2	23	133	0.02	-2	7320	0.08		
"Congo, Democratic Republic of the"	18535	18167	0.1	14	10	111	0.04	13	6479	0.14		
"Algeria"	17927	12577	0.1	-2	29	64	0.2	-8	4584	0.07		
"Panama"	16780	16589	0.1	3	85	60	0.2	1	8657	0.12		
"Croatia"	16424	14172	0.1	0	13	63	0.2	6	1362	0.07		
"Latvia"	16399	8751	0.1	4	-19	77	0.1	7	1575	0.08		
"Switzerland"	15759	-269479	0.1	2	7	20	1.5	4	3384	0.07		
"Honduras"	15233	15147	0.1	25	385	99	0.05	4	6104	0.16		
"Austria"	14788	-141931	0.1	-2	41	27	1	3	1514	0.18		
"Myanmar"	12730	11244	0	-11	-4	79	0.10	-1	2536	0.25		
"Zimbabwe"	12483	-1838	0	26	5	134	0.02	7	3754	0.39		
"Estonia"	12248	8763	0	-9	-12	73	0.1	6	2314	0.06		
"Libya, State of"	11711	7579	0	31	33	89	0.07	12	3475	0.08		
"Cameroon"	11620	-7526	0	-8	-18	116	0.03	8	7279	0.14		
"Lebanon"	11580	7273	0	-14	33	97	0.06	-12	3592	0.06		
"Guatemala"	10641	-9314	0	3	146	68	0.1	7	5828	0.15		
"Dominican Republic"	9842	7546	0	-11	160	67	0.1	5	6446	0.22		
"Togo"	8787	-35793	0	-17	-55	153	0.01	10	7318	0.08		
"Paraguay"	8226	-29304	0	-8	59	92	0.06	0	7311	0.15		
"Mauritania"	8048	8034	0	-12	35	146	0.02	1	5817	0.07		
"Ecuador"	7502	7175	0	-14	63	69	0.1	3	9174	0.12		
"Gambia"	7419	4246	0	-5	-73	167	0	7	8260	0.14		
"Guinea-Bissau"	7319	-14793	0	-20	-71	195	0	2	5802	0.16		
"Malawi"	7051	6505	0	89	-33	168	0	0	5169	0.15		
"Georgia"	6754	5822	0	6	-1	113	0.04	-2	2513	0.09		
"Comoros"	6603	6595	0	-29	-42	192	0	18	5731	0.22		
"Syrian Arab Republic"	6321	6141	0	-11	-75	139	0.02	-3	2496	0.27		
"Uruguay"	6223	-492	0	-15	47	95	0.06	0	9836	0.11		
"Maldives"	6133	5842	0	4	-15	151	0.01	-3	4478	0.08		
"Cyprus"	6129	1972	0	-2	5	105	0.05	-1	3118	0.09		
"Botswana"	5890	5747	0	12	8	124	0.03	2	2968	0.52		
"Azerbaijan"	5775	2122	0	-25	53	98	0.05	5	3712	0.09		
"Haiti"	5646	5632	0	52	-63	140	0.02	0	6340	0.18		
"Albania"	5241	5014	0	5	27	121	0.03	6	1886	0.13		
"El Salvador"	4884	4832	0	12	78	88	0.07	9	4914	0.15		
"Montenegro"	4743	-73575	0	-35	-41	152	0.01	0	2382	0.08		
"Trinidad and Tobago"	4701	2527	0	-1	20	128	0.03	-1	6663	0.26		
"Nepal"	4658	2103	0	35	-26	96	0.06	8	1856	0.56		
"Costa Rica"	4303	1597	0	3	11	86	0.08	3	6987	0.22		
"Malta"	3943	2210	0	0	-3	120	0.03	1	3249	0.08		
"Nicaragua"	3745	3642	0	-22	158	104	0.05	4	5888	0.1		
"Liberia"	3632	3397	0	48	21	87	0.07	17	11608	0.19		
"Turkmenistan"	3002	-8001	0	10	29	148	0.02	4	3495	0.15		
"Venezuela, Bolivarian Republic of"	2929	2830	0	8	260	117	0.03	-11	8121	0.16		
"Kyrgyzstan"	2822	2790	0	26	70	127	0.03	1	2892	0.2		
"Sierra Leone"	2703	1813	0	-43	-76	170	0	10	8820	0.13		
"Uganda"	2539	-34661	0	7	38	132	0.02	11	5788	0.09		
"Tajikistan"	2491	-499	0	-17	21	142	0.02	9	2803	0.17		
"Fiji"	2336	2232	0	5	112	157	0.01	-7	7384	0.12		
"Timor-Leste"	2179	2179	0	1	-20	183	0	12	3988	0.22		
"Congo"	2039	-3957	0	46	-30	154	0.01	-18	6851	0.07		
"Belarus"	1854	-72736	0	39	76	61	0.2	2	2268	0.23		
"Guyana"	1649	1212	0	31	65	144	0.02	13	11175	0.21		
"Jamaica"	1589	149	0	-9	64	137	0.02	-2	6759	0.22		
"Seychelles"	1513	-11306	0	-10	-55	187	0	-7	6627	0.06		
"Serbia"	1511	155	0	-10	6	65	0.2	9	2497	0.06		
"Brunei Darussalam"	1143	1007	0	20	0	109	0.04	26	5185	0.11		
"Zambia"	1014	-87006	0	-5	169	119	0.03	-9	5447	0.14		
"Ethiopia"	742	-6853	0	-13	-45	90	0.07	1	6305	0.11		
"Suriname"	631	623	0	6	34	173	0	1	9050	0.14		
"Barbados"	622	582	0	22	15	161	0	0	4992	0.21		
"Luxembourg"	614	-5387	0	14	-17	71	0.1	3	1488	0.14		
"Gabon"	598	-708	0	-19	-6	158	0.01	-2	7114	0.11		
"Mongolia"	544	544	0	16	161	125	0.03	8	3267	0.22		
"Rwanda"	506	-33868	0	27	28	159	0.01	17	5437	0.08		
"Lao People's Democratic Republic"	501	34	0	-22	-5	129	0.02	-1	2572	0.28		
"Eswatini"	486	-9752	0	-27	160	160	0	1	1597	0.74		
"Iceland"	378	49	0	31	51	112	0.04	-1	4251	0.05		
"Bolivia, Plurinational State of"	377	330	0	-3	-4	106	0.04	-3	7978	0.11		
"Mali"	358	-58	0	23	96	141	0.02	9	5008	0.1		
"New Caledonia"	318	251	0	44	107	155	0.01	-1	11471	0.2		
"Burkina Faso"	304	-14972	0	16	95	136	0.02	5	6109	0.05		
"Bahamas"	280	-1450	0	-3	35	115	0.03	-8	6248	0.19		
"Burundi"	274	-9582	0	1	64	188	0	13	4755	0.14		
"Equatorial Guinea"	258	148	0	-6	225	182	0	2	6008	0.11		
"India"	241	-394900	0	-89	44	10	2.6	2	5793	0.05		
"Samoa"	240	238	0	12	-50	197	0	-1	6816	0.13		
"French Polynesia"	228	228	0	10	-21	165	0	1	13300	0.24		
"Moldova, Republic of"	220	90	0	-11	31	118	0.03	8	2317	0.08		
"Lesotho"	217	217	0	-57	252	164	0	-2	1590	0.78		
"Macedonia, North"	182	-658	0	62	664	103	0.05	8	1348	0.09		
"Cabo Verde"	168	119	0	-7	77	181	0	4	5196	0.21		
"Saint Vincent and the Grenadines"	155	155	0	13	13	196	0	3	6798	0.14		
"Antigua and Barbuda"	150	121	0	40	-52	174	0	1	6334	0.27		
"Namibia"	148	-2561	0	-35	-38	126	0.03	-1	3757	0.37		
"Vanuatu"	128	128	0	54	554	198	0	-2	6248	0.13		
"United States Minor Outlying Islands"	128	2	0	7	-27	177	0	0		0.21		
"Tonga"	115	114	0		29	202	0	4	5771	0.16		
"Armenia"	112	110	0	5	2	131	0.02	6	3323	0.15		
"Grenada"	110	110	0	-14	42	191	0	-1	4157	0.2		
"Bermuda"	107	106	0	-1	87	169	0	-3	8006	0.28		
"Saint Lucia"	106	106	0	-8	-39	171	0	-10	5321	0.23		
"Sao Tome and Principe"	105	105	0	-7	266	210	0	-3	6155	0.31		
"Cayman Islands"	80	79	0	42	59	123	0.03	5	7522	0.35		
"Bosnia and Herzegovina"	64	-2394	0	-20	-31	94	0.06	3	2228	0.07		
"Dominica"	51	-1036	0	12	58	185	0	8	4908	0.65		
"Niger"	47	-9	0	-41	15	162	0	13	5715	0.09		
"Saint Kitts and Nevis"	47	-21	0	25	8	201	0	-12	5440	0.41		
"Belize"	46	-4787	0	3	755	179	0	1	5006	0.18		
"Cuba"	34	11	0	-58	-88	145	0.02	-13	7148	0.09		
"Solomon Islands"	30	-148	0	-31	-6	190	0	0	6301	0.17		
"Greenland"	26	26	0		1332	180	0	6	3482	0.44		
"Cook Islands"	24	24	0	-3	-46	206	0	-4	9417	0.22		
"Central African Republic"	13	-995	0	107	-70	199	0	7	6606	0.08		
"Kiribati"	11	4	0		-71	205	0	10	5936	0.13		
"Macao, China"	7	-227	0	-20	-66	81	0.09	15		0.17		
"Chad"	7	-2297	0	-17	-91	184	0	13	6931	0.16		
"Aruba"	6	-160	0	-45	-68	175	0	-3	4917	0.3		
"Turks and Caicos Islands"	4	4	0			193	0	-3	3491	0.74		
"Palau"	4	-5	0			209	0	1	6232	0.16		
"Nauru"	3	3	0			211	0	18	6014	0.27		
"Micronesia, Federated States of"	2	2	0		-79	208	0	-8	7109	0.19		
"Andorra"	2	1	0	-12		166	0	2	610	0.52		
"British Virgin Islands"	2	-3	0	-50	-61	156	0.01	8	7242	0.27		
"Bhutan"	2	-74	0	29	-90	178	0	15	1733	0.63		
"Marshall Islands"	1	-17	0			91	0.06	-1	7455	0.18		
"Korea, Democratic People's Republic of"		-1				200	0	-49	1470	0.87		
"Eritrea"		-2				203	0	-8	6303	0.14		
"South Sudan"		-3				194	0	12		0.25		
"Pitcairn"		-3				227	0	-5		0.23		
"Cocos (Keeling) Islands"		-4				225	0	8		0.74		
"Palestine, State of"		-9				176	0	8	3026	0.1		
"Tokelau"		-11				226	0	-33	11566	0.22		
"Anguilla"		-12				212	0	-5	4397	0.58		
"Falkland Islands (Malvinas)"		-14				207	0	2	12325	0.46		
"British Indian Ocean Territory"		-17				219	0	-9		0.67		
"Faroe Islands"		-31				172	0	7	1404	0.27		
"Norfolk Island"		-104				222	0	1	5454	0.24		
"Northern Mariana Islands"		-112				216	0	-19	3811	0.2		
"Curaçao"		-344				163	0	-12		0.24		
"Christmas Island"		-433				220	0	3		0.69		
"Western Sahara"		-3328				221	0	-16	12469	0.9		
"Iran, Islamic Republic of"		-661411				72	0.1	-18	5612	0.13		
"European Union Nes"		-748554										
"Taipei, Chinese"						17	1.7	8	5007	0.1		
"Israel"						42	0.4	4	5483	0.07		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Tuvalu"						204	0	17	6386	0.21		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
