Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Maldives's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Maldives (%)	
"Philippines"	83	-2457	0.1	-17	-71	34	0.6	2	4354	0.09		
"Denmark"	78	-7353	0.1		580	35	0.6	5	2182	0.08		
"Colombia"	75	-14	0		88	51	0.3	4	8915	0.13		
"Ukraine"	74	-2621	0		85	48	0.3	7	3255	0.06		
"Portugal"	63	-1027	0	24	51	40	0.4	2	2788	0.14		
"Singapore"	49	-245619	0	-21	-44	16	1.9	3	5773	0.07		
"Oman"	28	-337889	0			83	0.08	-6	5977	0.08		
"Cyprus"	27	-852	0		196	105	0.05	-1	3118	0.09		
"Saudi Arabia"	24	-4738	0	170		32	0.7	3	5816	0.07		
"Iran, Islamic Republic of"	22	-137	0		345	72	0.1	-18	5612	0.13		
"China"	22	-342357	0	-40	-98	2	11.1	5	6416	0.04		
"Bahrain"	13	-76	0	-25	225	101	0.05	1	6359	0.08		
"Cambodia"	10	-68	0	163	-50	66	0.1	16	2651	0.18		
"South Africa"	10	-11371	0	-20	-86	41	0.4	-1	9230	0.07		
"Czech Republic"	6	-5442	0	-30		28	1	4	2987	0.1		
"Qatar"	5	-1082	0		223	70	0.1	0	5745	0.06		
"Armenia"	3	3	0			131	0.02	6	3323	0.15		
"Russian Federation"	2	-2794	0	207		21	1.3	5	4187	0.09		
"Turkey"	2	-43681	0		-67	22	1.2	3	4285	0.05		
"Australia"	2	-49670	0	-67	-100	24	1.1	1	10262	0.1		
"Nepal"	1	-18	0			96	0.06	8	1856	0.56		
"Kazakhstan"		-1				58	0.2	6	3017	0.25		
"Côte d'Ivoire"		-1				93	0.06	9	6793	0.08		
"Mozambique"		-1				108	0.04	8	6196	0.1		
"Albania"		-1				121	0.03	6	1886	0.13		
"Kyrgyzstan"		-1				127	0.03	1	2892	0.2		
"Zimbabwe"		-1				134	0.02	7	3754	0.39		
"Syrian Arab Republic"		-1				139	0.02	-3	2496	0.27		
"New Caledonia"		-1				155	0.01	-1	11471	0.2		
"Aruba"		-1				175	0	-3	4917	0.3		
"El Salvador"		-2				88	0.07	9	4914	0.15		
"Azerbaijan"		-2				98	0.05	5	3712	0.09		
"Tanzania, United Republic of"		-2				102	0.05	7	6633	0.1		
"Senegal"		-2				110	0.04	4	6632	0.05		
"Zambia"		-2				119	0.03	-9	5447	0.14		
"Mongolia"		-2				125	0.03	8	3267	0.22		
"British Indian Ocean Territory"		-2				219	0	-9		0.67		
"Bosnia and Herzegovina"		-3				94	0.06	3	2228	0.07		
"Moldova, Republic of"		-3				118	0.03	8	2317	0.08		
"Cayman Islands"		-3				123	0.03	5	7522	0.35		
"Gabon"		-3				158	0.01	-2	7114	0.11		
"Dominica"		-3				185	0	8	4908	0.65		
"Afghanistan"		-4				147	0.02	-8	2990	0.12		
"Barbados"		-4				161	0	0	4992	0.21		
"Saint Kitts and Nevis"		-4				201	0	-12	5440	0.41		
"Northern Mariana Islands"		-4				216	0	-19	3811	0.2		
"Maldives"		-5				151	0.01	-3	4478	0.08		
"Uzbekistan"		-6				74	0.1	16	3412	0.12		
"Niger"		-6				162	0	13	5715	0.09		
"Saint Lucia"		-6				171	0	-10	5321	0.23		
"Vanuatu"		-6				198	0	-2	6248	0.13		
"Sao Tome and Principe"		-6				210	0	-3	6155	0.31		
"Papua New Guinea"		-7				143	0.02	-1	4973	0.17		
"Bermuda"		-7				169	0	-3	8006	0.28		
"Nauru"		-7				211	0	18	6014	0.27		
"Andorra"		-8				166	0	2	610	0.52		
"Guinea"		-9				135	0.02	7	9140	0.19		
"Turkmenistan"		-9				148	0.02	4	3495	0.15		
"Mali"		-10				141	0.02	9	5008	0.1		
"Sierra Leone"		-10				170	0	10	8820	0.13		
"Guatemala"		-11				68	0.1	7	5828	0.15		
"Honduras"		-11				99	0.05	4	6104	0.16		
"Madagascar"		-11				138	0.02	2	7339	0.08		
"Faroe Islands"		-12				172	0	7	1404	0.27		
"Eswatini"		-13				160	0	1	1597	0.74		
"Trinidad and Tobago"		-14				128	0.03	-1	6663	0.26		
"Macedonia, North"		-15				103	0.05	8	1348	0.09		
"United States Minor Outlying Islands"		-15				177	0	0		0.21		
"Myanmar"		-16				79	0.10	-1	2536	0.25		
"Ethiopia"		-16				90	0.07	1	6305	0.11		
"Iceland"		-17				112	0.04	-1	4251	0.05		
"Namibia"		-18				126	0.03	-1	3757	0.37		
"Cuba"		-24				145	0.02	-13	7148	0.09		
"Luxembourg"		-29				71	0.1	3	1488	0.14		
"Jamaica"		-31				137	0.02	-2	6759	0.22		
"Paraguay"		-35				92	0.06	0	7311	0.15		
"Dominican Republic"		-36				67	0.1	5	6446	0.22		
"Guyana"		-40				144	0.02	13	11175	0.21		
"Suriname"		-43				173	0	1	9050	0.14		
"Sudan"		-44				122	0.03	-2		0.13		
"Mauritania"		-45				146	0.02	1	5817	0.07		
"Algeria"		-51				64	0.2	-8	4584	0.07		
"Macao, China"		-58				81	0.09	15		0.17		
"Venezuela, Bolivarian Republic of"		-63				117	0.03	-11	8121	0.16		
"Belarus"		-64				61	0.2	2	2268	0.23		
"Fiji"		-84				157	0.01	-7	7384	0.12		
"Antigua and Barbuda"		-85				174	0	1	6334	0.27		
"Uruguay"		-90				95	0.06	0	9836	0.11		
"Israel"		-103				42	0.4	4	5483	0.07		
"Ghana"		-109				82	0.08	8	8888	0.18		
"Jordan"		-123				84	0.08	0	5167	0.07		
"Korea, Democratic People's Republic of"		-124				200	0	-49	1470	0.87		
"Croatia"		-132				63	0.2	6	1362	0.07		
"Estonia"		-136				73	0.1	6	2314	0.06		
"Slovakia"		-160				38	0.5	4	2664	0.07		
"Peru"		-182				54	0.2	3	10420	0.13		
"Morocco"		-208				52	0.3	4	4316	0.07		
"Lithuania"		-227				59	0.2	7	1630	0.07		
"Kuwait"		-238				76	0.1	-3	5837	0.07		
"Romania"		-294				37	0.5	6	1891	0.07		
"Tunisia"		-316				78	0.10	-1	3411	0.06		
"Lao People's Democratic Republic"		-366				129	0.02	-1	2572	0.28		
"Latvia"		-380				77	0.1	7	1575	0.08		
"Uganda"		-444				132	0.02	11	5788	0.09		
"Malta"		-453				120	0.03	1	3249	0.08		
"Kenya"		-507				80	0.09	2	6680	0.08		
"Bulgaria"		-541				57	0.2	6	2237	0.05		
"Greece"		-570				45	0.3	4	2847	0.05		
"Chile"		-601				43	0.4	6	11582	0.13		
"Argentina"		-634				50	0.3	-5	10631	0.1		
"Mexico"		-812				13	2.3	2	7039	0.24		
"Lebanon"		-815				97	0.06	-12	3592	0.06		
"Hungary"		-828				33	0.6	6	2180	0.09		
"Slovenia"		-2107				55	0.2	10	2404	0.07		
"Austria"		-3441				27	1	3	1514	0.18		
"Sweden"		-5621				31	0.9	3	2128	0.07		
"Pakistan"		-6733				47	0.3	2	4850	0.11		
"Egypt"		-8034				46	0.3	-1	5219	0.05		
"New Zealand"		-10116				56	0.2	3	11141	0.09		
"Brazil"		-18460				26	1	6	10879	0.09		
"Nigeria"						53	0.2	17	7792	0.1		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Liberia"						87	0.07	17	11608	0.19		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Angola"						100	0.05	-11	7692	0.06		
"Nicaragua"						104	0.05	4	5888	0.1		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Yemen"						107	0.04	11	5706	0.11		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Georgia"						113	0.04	-2	2513	0.09		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Botswana"						124	0.03	2	2968	0.52		
"Djibouti"						130	0.02	5	6387	0.22		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Haiti"						140	0.02	0	6340	0.18		
"Tajikistan"						142	0.02	9	2803	0.17		
"Benin"						149	0.01	-2	6481	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Montenegro"						152	0.01	0	2382	0.08		
"Togo"						153	0.01	10	7318	0.08		
"Congo"						154	0.01	-18	6851	0.07		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Rwanda"						159	0.01	17	5437	0.08		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Free Zones"						186	0	-34		0.92		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
