Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in India's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by India (%)	
"Sri Lanka"	4799758	3819933	1.2	-2	49	85	0.08	-3	4351	0.16		
"Nigeria"	4523063	-4634845	1.1	18	53	53	0.2	17	7792	0.1		
"Spain"	4393860	2401442	1.1	0	42	15	1.9	3	3890	0.05		
"Israel"	4377883	1623317	1.1	2	68	42	0.4	4	5483	0.07		
"Mexico"	4161539	18956	1.1	0	37	13	2.3	2	7039	0.24		
"Canada"	3557180	841600	0.9	9	26	14	2.2	1	5042	0.26		
"Russian Federation"	3334264	-5360774	0.8	10	30	21	1.3	5	4187	0.09		
"Egypt"	3279669	287223	0.8	4	53	46	0.3	-1	5219	0.05		
"Togo"	2919844	2564077	0.7	65	144	153	0.01	10	7318	0.08		
"Taipei, Chinese"	2581481	-3183566	0.7	-3	68	17	1.7	8	5007	0.1		
"Poland"	2519186	1474734	0.6	11	69	18	1.5	8	3121	0.08		
"Kenya"	2496294	2329195	0.6	6	26	80	0.09	2	6680	0.08		
"Oman"	2493248	-3334483	0.6	-3	8	83	0.08	-6	5977	0.08		
"Iraq"	2032421	-24533652	0.5	7	39	62	0.2	3	4107	0.18		
"Philippines"	1982750	1252171	0.5	2	40	34	0.6	2	4354	0.09		
"Mozambique"	1835716	399013	0.5	18	27	108	0.04	8	6196	0.1		
"Qatar"	1714905	-9829964	0.4	5	37	70	0.1	0	5745	0.06		
"Tanzania, United Republic of"	1689025	-196076	0.4	-1	20	102	0.05	7	6633	0.1		
"Colombia"	1317624	-1388312	0.3	5	59	51	0.3	4	8915	0.13		
"Switzerland"	1290286	-28201717	0.3	5	3	20	1.5	4	3384	0.07		
"Iran, Islamic Republic of"	1284001	875322	0.3	-15	-43	72	0.1	-18	5612	0.13		
"Kuwait"	1230319	-8251869	0.3	-5	22	76	0.1	-3	5837	0.07		
"Argentina"	1186970	-2788209	0.3	14	61	50	0.3	-5	10631	0.1		
"Chile"	1128135	-87831	0.3	6	53	43	0.4	6	11582	0.13		
"Portugal"	1108298	947084	0.3	9	34	40	0.4	2	2788	0.14		
"Ghana"	1099174	-489769	0.3	12	47	82	0.08	8	8888	0.18		
"Sudan"	1006077	747299	0.3	6	-4	122	0.03	-2		0.13		
"Sweden"	999621	-380829	0.3	5	42	31	0.9	3	2128	0.07		
"Greece"	951629	659863	0.2	17	109	45	0.3	4	2847	0.05		
"Area Nes"	947625	894862	0.2	-25	40							
"Senegal"	938954	358190	0.2	4	62	110	0.04	4	6632	0.05		
"Denmark"	920571	253123	0.2	3	32	35	0.6	5	2182	0.08		
"Peru"	916922	-1697309	0.2	4	31	54	0.2	3	10420	0.13		
"Bahrain"	899874	161364	0.2	8	97	101	0.05	1	6359	0.08		
"Bhutan"	867704	523854	0.2	16	39	178	0	15	1733	0.63		
"Jordan"	849200	-698705	0.2	13	38	84	0.08	0	5167	0.07		
"Myanmar"	839037	40262	0.2	-8	0	79	0.10	-1	2536	0.25		
"Morocco"	783788	-1180263	0.2	15	41	52	0.3	4	4316	0.07		
"Yemen"	767860	663958	0.2	10	-3	107	0.04	11	5706	0.11		
"Mauritius"	745500	678776	0.2	-9	87	133	0.02	-2	7320	0.08		
"Côte d'Ivoire"	727998	347456	0.2	7	46	93	0.06	9	6793	0.08		
"Ethiopia"	723452	660262	0.2	0	9	90	0.07	1	6305	0.11		
"Algeria"	702604	65990	0.2	-7	29	64	0.2	-8	4584	0.07		
"Somalia"	698686	681830	0.2	11	28	150	0.01	9	5305	0.16		
"Uganda"	694635	637038	0.2	8	6	132	0.02	11	5788	0.09		
"Afghanistan"	661673	100877	0.2	2	-23	147	0.02	-8	2990	0.12		
"Ireland"	648467	-447336	0.2	5	19	36	0.5	4	3265	0.1		
"Djibouti"	643783	606038	0.2	8	91	130	0.02	5	6387	0.22		
"Benin"	608322	243769	0.2	6	38	149	0.01	-2	6481	0.07		
"Guinea"	596006	-2850681	0.2	11	31	135	0.02	7	9140	0.19		
"Maldives"	591786	541091	0.1	21	202	151	0.01	-3	4478	0.08		
"Czech Republic"	575589	-784	0.1	10	16	28	1	4	2987	0.1		
"Congo, Democratic Republic of the"	574776	559427	0.1	25	61	111	0.04	13	6479	0.14		
"Austria"	564943	-222968	0.1	4	28	27	1	3	1514	0.18		
"Romania"	559647	292166	0.1	7	74	37	0.5	6	1891	0.07		
"Hungary"	545269	263989	0.1	7	19	33	0.6	6	2180	0.09		
"Guatemala"	519808	497415	0.1	13	74	68	0.1	7	5828	0.15		
"Ukraine"	509943	-2089724	0.1	10	16	48	0.3	7	3255	0.06		
"New Zealand"	508010	135730	0.1	11	16	56	0.2	3	11141	0.09		
"Pakistan"	502855	500447	0.1	-37	78	47	0.3	2	4850	0.11		
"Malta"	465338	439930	0.1	23	47	120	0.03	1	3249	0.08		
"Slovenia"	455967	155164	0.1	12	41	55	0.2	10	2404	0.07		
"Angola"	408732	-1907216	0.1	11	70	100	0.05	-11	7692	0.06		
"Cameroon"	390836	-90451	0.1	20	54	116	0.03	8	7279	0.14		
"Norway"	383844	-1698031	0.1	3	24	39	0.5	3	3470	0.06		
"Tunisia"	380096	150466	0.1	5	57	78	0.10	-1	3411	0.06		
"Finland"	340823	-347399	0.1	4	28	44	0.4	3	2842	0.07		
"Panama"	334882	121503	0.1	4	116	60	0.2	1	8657	0.12		
"Zambia"	334808	203888	0.1	3	34	119	0.03	-9	5447	0.14		
"Croatia"	316472	244352	0.1	13	130	63	0.2	6	1362	0.07		
"Venezuela, Bolivarian Republic of"	311922	213303	0.1	65	-59	117	0.03	-11	8121	0.16		
"Honduras"	304105	281555	0.1	15	119	99	0.05	4	6104	0.16		
"Dominican Republic"	300431	-352636	0.1	8	59	67	0.1	5	6446	0.22		
"Madagascar"	296046	183794	0.1	6	-5	138	0.02	2	7339	0.08		
"Ecuador"	295955	-676080	0.1	-2	52	69	0.1	3	9174	0.12		
"Lebanon"	282289	250372	0.1	-2	67	97	0.06	-12	3592	0.06		
"Botswana"	268360	-332714	0.1	23	80	124	0.03	2	2968	0.52		
"Gibraltar"	261770	261490	0.1	1	-1	114	0.03	-5	2572	0.09		
"Lithuania"	259664	40635	0.1	21	94	59	0.2	7	1630	0.07		
"Uzbekistan"	259605	236480	0.1	18	0	74	0.1	16	3412	0.12		
"Liberia"	248705	234627	0.1	1	15	87	0.07	17	11608	0.19		
"Bulgaria"	227390	93441	0.1	6	52	57	0.2	6	2237	0.05		
"Mali"	218043	200757	0.1	15	30	141	0.02	9	5008	0.1		
"Paraguay"	210347	194451	0.1	6	41	92	0.06	0	7311	0.15		
"Libya, State of"	207897	-160621	0.1	12	46	89	0.07	12	3475	0.08		
"Kazakhstan"	207456	-322552	0.1	17	-8	58	0.2	6	3017	0.25		
"Burkina Faso"	200319	-323112	0.1	9	6	136	0.02	5	6109	0.05		
"Cambodia"	193790	117838	0	8	35	66	0.1	16	2651	0.18		
"Sierra Leone"	191446	176757	0	16	54	170	0	10	8820	0.13		
"Zimbabwe"	188852	183137	0	3	13	134	0.02	7	3754	0.39		
"Slovakia"	168314	77880	0	2	13	38	0.5	4	2664	0.07		
"Malawi"	155740	55054	0	-9	3	168	0	0	5169	0.15		
"Gambia"	154755	113594	0	5	33	167	0	7	8260	0.14		
"Uruguay"	150036	-15791	0	-11	53	95	0.06	0	9836	0.11		
"El Salvador"	148169	143910	0	17	96	88	0.07	9	4914	0.15		
"Georgia"	146789	115862	0	14	49	113	0.04	-2	2513	0.09		
"Congo"	145336	-623703	0	2	36	154	0.01	-18	6851	0.07		
"Costa Rica"	144101	81406	0	-1	28	86	0.08	3	6987	0.22		
"Bolivia, Plurinational State of"	133657	-1828475	0	5	57	106	0.04	-3	7978	0.11		
"Rwanda"	133459	125981	0	7	7	159	0.01	17	5437	0.08		
"Latvia"	130438	87699	0	0	32	77	0.1	7	1575	0.08		
"Syrian Arab Republic"	116489	100395	0	-7	-6	139	0.02	-3	2496	0.27		
"Nicaragua"	112816	104294	0	9	54	104	0.05	4	5888	0.1		
"Turkmenistan"	111962	108115	0	14	153	148	0.02	4	3495	0.15		
"Namibia"	111664	63433	0	10	139	126	0.03	-1	3757	0.37		
"Haiti"	104033	83660	0	3	16	140	0.02	0	6340	0.18		
"Mauritania"	101148	90780	0	5	23	146	0.02	1	5817	0.07		
"Niger"	98364	93568	0	-7	41	162	0	13	5715	0.09		
"Trinidad and Tobago"	92290	-50284	0	-2	30	128	0.03	-1	6663	0.26		
"Serbia"	89343	79940	0	13	-2	65	0.2	9	2497	0.06		
"Cyprus"	81955	8356	0	0	-4	105	0.05	-1	3118	0.09		
"Jamaica"	77526	75316	0	10	34	137	0.02	-2	6759	0.22		
"Belarus"	71092	-295007	0	10	21	61	0.2	2	2268	0.23		
"Guyana"	67368	-91404	0	21	177	144	0.02	13	11175	0.21		
"Papua New Guinea"	66698	-258932	0	15	20	143	0.02	-1	4973	0.17		
"Burundi"	61799	61759	0	11	-4	188	0	13	4755	0.14		
"Estonia"	59458	-8151	0	-9	16	73	0.1	6	2314	0.06		
"Albania"	56508	25895	0	22	17	121	0.03	6	1886	0.13		
"Chad"	56407	53100	0	25	-9	184	0	13	6931	0.16		
"Gabon"	56149	-938100	0	5	7	158	0.01	-2	7114	0.11		
"Armenia"	55025	-67094	0	17	22	131	0.02	6	3323	0.15		
"Fiji"	54341	53393	0	-3	23	157	0.01	-7	7384	0.12		
"Brunei Darussalam"	48524	-424231	0	-1	-19	109	0.04	26	5185	0.11		
"Azerbaijan"	42295	-137673	0	2	-8	98	0.05	5	3712	0.09		
"Seychelles"	40819	37099	0	1	-48	187	0	-7	6627	0.06		
"Tajikistan"	38216	30465	0	18	-15	142	0.02	9	2803	0.17		
"Kyrgyzstan"	31671	30175	0	3	-14	127	0.03	1	2892	0.2		
"Macedonia, North"	29637	26061	0	14	45	103	0.05	8	1348	0.09		
"Timor-Leste"	28839	28838	0	75	77	183	0	12	3988	0.22		
"South Sudan"	28280	27234	0		23	194	0	12		0.25		
"Curaçao"	27494	17846	0	-11	43	163	0	-12		0.24		
"Mongolia"	27355	26805	0	8	82	125	0.03	8	3267	0.22		
"Cuba"	26074	24665	0	-16	29	145	0.02	-13	7148	0.09		
"Eswatini"	23830	-260308	0	-5	-10	160	0	1	1597	0.74		
"Comoros"	21157	7417	0	-4	22	192	0	18	5731	0.22		
"Central African Republic"	21131	21077	0	-9	-2	199	0	7	6606	0.08		
"Montenegro"	20829	20462	0	-19	-2	152	0.01	0	2382	0.08		
"New Caledonia"	19033	12817	0	17	63	155	0.01	-1	11471	0.2		
"Suriname"	18597	-18745	0	1	16	173	0	1	9050	0.14		
"Bosnia and Herzegovina"	17121	14345	0	3	22	94	0.06	3	2228	0.07		
"Lao People's Democratic Republic"	16017	15164	0	-10	-43	129	0.02	-1	2572	0.28		
"Lesotho"	15961	15866	0	-11	-60	164	0	-2	1590	0.78		
"Guinea-Bissau"	15814	-128072	0	8	35	195	0	2	5802	0.16		
"Luxembourg"	14476	-36572	0	3	21	71	0.1	3	1488	0.14		
"Barbados"	14205	13394	0	2	36	161	0	0	4992	0.21		
"Equatorial Guinea"	13846	-840984	0	7	0	182	0	2	6008	0.11		
"Belize"	13179	12760	0	-6	40	179	0	1	5006	0.18		
"Macao, China"	11910	-11262	0	18	-16	81	0.09	15		0.17		
"Iceland"	11331	4228	0	9	-4	112	0.04	-1	4251	0.05		
"Moldova, Republic of"	10648	9709	0	9	17	118	0.03	8	2317	0.08		
"French Polynesia"	9176	8315	0		86	165	0	1	13300	0.24		
"Eritrea"	8817	8694	0	4	2	203	0	-8	6303	0.14		
"Bahamas"	7351	3836	0	25	-87	115	0.03	-8	6248	0.19		
"Cayman Islands"	6768	-78404	0	11	44	123	0.03	5	7522	0.35		
"Bermuda"	6055	6012	0	12	92	169	0	-3	8006	0.28		
"Aruba"	5000	2995	0	-10	3	175	0	-3	4917	0.3		
"Grenada"	4374	3617	0	5	113	191	0	-1	4157	0.2		
"Saint Lucia"	4019	3779	0	-6	45	171	0	-10	5321	0.23		
"Cabo Verde"	3641	-613	0	31	12	181	0	4	5196	0.21		
"Vanuatu"	3368	3368	0	9	63	198	0	-2	6248	0.13		
"Palestine, State of"	3332	2971	0		546	176	0	8	3026	0.1		
"Dominica"	2878	2661	0	9	123	185	0	8	4908	0.65		
"United States Minor Outlying Islands"	2749	2474	0	-21	31	177	0	0		0.21		
"Sao Tome and Principe"	2637	2637	0	25	118	210	0	-3	6155	0.31		
"Antigua and Barbuda"	2135	1944	0	-5	48	174	0	1	6334	0.27		
"Samoa"	1984	1585	0	-4	-5	197	0	-1	6816	0.13		
"Solomon Islands"	1879	-31185	0	7	22	190	0	0	6301	0.17		
"Saint Kitts and Nevis"	1839	820	0	-15	65	201	0	-12	5440	0.41		
"Kiribati"	1687	1646	0	34	212	205	0	10	5936	0.13		
"Tonga"	1643	1643	0	5	155	202	0	4	5771	0.16		
"Greenland"	1399	1390	0	517	26	180	0	6	3482	0.44		
"Marshall Islands"	1362	-89	0	69	-79	91	0.06	-1	7455	0.18		
"French Southern and Antarctic Territories"	1052	187	0			214	0	14		0.12		
"Saint Vincent and the Grenadines"	956	-11026	0	4	117	196	0	3	6798	0.14		
"Micronesia, Federated States of"	716	716	0	30	14	208	0	-8	7109	0.19		
"Korea, Democratic People's Republic of"	440	-5872	0	-69	-90	200	0	-49	1470	0.87		
"Northern Mariana Islands"	423	362	0	60	65	216	0	-19	3811	0.2		
"Turks and Caicos Islands"	402	348	0	-25	158	193	0	-3	3491	0.74		
"British Virgin Islands"	381	-16789	0	-36	9	156	0.01	8	7242	0.27		
"Faroe Islands"	236	236	0	-20	-10	172	0	7	1404	0.27		
"Nauru"	187	-16997	0	-55	156	211	0	18	6014	0.27		
"Norfolk Island"	180	-93	0	2	-30	222	0	1	5454	0.24		
"Tuvalu"	99	99	0	21	3200	204	0	17	6386	0.21		
"Palau"	93	93	0	24	-56	209	0	1	6232	0.16		
"Anguilla"	92	-3	0	-38	119	212	0	-5	4397	0.58		
"Montserrat"	83	83	0	-19	28	224	0	-7		0.49		
"Andorra"	57	57	0	-47	217	166	0	2	610	0.52		
"Cook Islands"	54	54	0	-31	-21	206	0	-4	9417	0.22		
"Western Sahara"	32	32	0	44	357	221	0	-16	12469	0.9		
"Wallis and Futuna Islands"	4	4	0	-27	-83	218	0	7	10103	0.24		
"Falkland Islands (Malvinas)"	2	2	0			207	0	2	12325	0.46		
"Pitcairn"	1	1	0			227	0	-5		0.23		
"Saint Helena"		-7				217	0	6	7699	0.31		
"Christmas Island"		-34				220	0	3		0.69		
"Tokelau"		-422				226	0	-33	11566	0.22		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Niue"						223	0	7	11410	0.48		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
