Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Ireland's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Ireland (%)	
"Romania"	657496	548321	0.3	15	47	37	0.5	6	1891	0.07		
"Denmark"	649758	-150138	0.3	-5	-3	35	0.6	5	2182	0.08		
"Russian Federation"	638583	-48189	0.3	-1	50	21	1.3	5	4187	0.09		
"India"	605167	-285315	0.3	9	59	10	2.6	2	5793	0.05		
"Singapore"	566304	28278	0.3	-9	-3	16	1.9	3	5773	0.07		
"United Arab Emirates"	539954	343080	0.3	6	0	29	0.9	-2	5715	0.08		
"Saudi Arabia"	508909	433908	0.3	-12	12	32	0.7	3	5816	0.07		
"Brazil"	422866	28444	0.2	16	25	26	1	6	10879	0.09		
"Taipei, Chinese"	408826	-310130	0.2	10	-23	17	1.7	8	5007	0.1		
"South Africa"	400263	242854	0.2	8	24	41	0.4	-1	9230	0.07		
"Hungary"	395462	20213	0.2	0	37	33	0.6	6	2180	0.09		
"Austria"	387345	-41621	0.2	-3	1	27	1	3	1514	0.18		
"Finland"	372467	-151351	0.2	0	20	44	0.4	3	2842	0.07		
"Nigeria"	300159	296133	0.2	-2	23	53	0.2	17	7792	0.1		
"Malaysia"	272908	-460012	0.1	5	9	25	1.1	3	5172	0.09		
"Thailand"	261115	-203061	0.1	6	60	23	1.2	2	4905	0.09		
"Egypt"	258367	174383	0.1	10	3	46	0.3	-1	5219	0.05		
"Slovenia"	237589	186769	0.1	27	43	55	0.2	10	2404	0.07		
"Morocco"	211694	151051	0.1	14	83	52	0.3	4	4316	0.07		
"Philippines"	190367	-22450	0.1	-1	21	34	0.6	2	4354	0.09		
"Gibraltar"	181461	180999	0.1	278	122	114	0.03	-5	2572	0.09		
"Slovakia"	154426	65062	0.1	22	18	38	0.5	4	2664	0.07		
"Bulgaria"	151160	114502	0.1	12	1	57	0.2	6	2237	0.05		
"Colombia"	141868	127647	0.1	12	15	51	0.3	4	8915	0.13		
"Viet Nam"	139755	-415660	0.1	9	27	19	1.5	8	3535	0.19		
"Lithuania"	129463	-4529	0.1	48	65	59	0.2	7	1630	0.07		
"Ship stores and bunkers"	121676	121676	0.1	-19	-33	75	0.1	-11		0.16		
"Latvia"	114141	32448	0.1	10	15	77	0.1	7	1575	0.08		
"Ukraine"	107920	30242	0.1	20	33	48	0.3	7	3255	0.06		
"New Zealand"	103755	21927	0.1	1	30	56	0.2	3	11141	0.09		
"Jordan"	103102	101559	0.1	11	-7	84	0.08	0	5167	0.07		
"Serbia"	100388	40912	0.1	8	-1	65	0.2	9	2497	0.06		
"Argentina"	96534	-231617	0.1	-10	33	50	0.3	-5	10631	0.1		
"Luxembourg"	95920	8129	0.1	-7	-46	71	0.1	3	1488	0.14		
"Qatar"	93282	87703	0	9	-36	70	0.1	0	5745	0.06		
"Iraq"	93278	93213	0	-2	-14	62	0.2	3	4107	0.18		
"Croatia"	90579	51697	0	17	45	63	0.2	6	1362	0.07		
"Algeria"	88750	64055	0	-1	-33	64	0.2	-8	4584	0.07		
"Senegal"	86617	84331	0	8	33	110	0.04	4	6632	0.05		
"Chile"	85346	14306	0	-2	5	43	0.4	6	11582	0.13		
"Estonia"	83383	60539	0	22	392	73	0.1	6	2314	0.06		
"Iceland"	83066	57970	0	12	64	112	0.04	-1	4251	0.05		
"Ghana"	77903	69251	0	6	12	82	0.08	8	8888	0.18		
"Kuwait"	76986	58418	0	-6	-17	76	0.1	-3	5837	0.07		
"Panama"	75183	74507	0	51	113	60	0.2	1	8657	0.12		
"Indonesia"	75054	-103071	0	4	-36	30	0.9	2	5872	0.11		
"Kazakhstan"	69702	68226	0	10	204	58	0.2	6	3017	0.25		
"Uruguay"	68101	53974	0	44	28	95	0.06	0	9836	0.11		
"Mali"	57522	57475	0	12	8	141	0.02	9	5008	0.1		
"Cyprus"	52430	43339	0	14	71	105	0.05	-1	3118	0.09		
"Costa Rica"	52024	-42140	0	1	-7	86	0.08	3	6987	0.22		
"Macao, China"	50865	50443	0	47	254	81	0.09	15		0.17		
"Zambia"	46978	46937	0	28	15	119	0.03	-9	5447	0.14		
"Peru"	45805	15702	0	8	77	54	0.2	3	10420	0.13		
"Pakistan"	44427	-95022	0	-4	30	47	0.3	2	4850	0.11		
"Bangladesh"	43329	-188288	0	4	136	49	0.3	6	4172	0.15		
"Bahrain"	41475	15374	0	1	-44	101	0.05	1	6359	0.08		
"Côte d'Ivoire"	41041	39753	0	10	53	93	0.06	9	6793	0.08		
"Oman"	35754	29649	0	-17	-36	83	0.08	-6	5977	0.08		
"Lebanon"	33919	31762	0	-22	-39	97	0.06	-12	3592	0.06		
"Libya, State of"	31950	31934	0	5	25	89	0.07	12	3475	0.08		
"Congo, Democratic Republic of the"	31324	31261	0	8	-2	111	0.04	13	6479	0.14		
"Trinidad and Tobago"	30267	21747	0	12	42	128	0.03	-1	6663	0.26		
"Benin"	28532	28459	0	67	69	149	0.01	-2	6481	0.07		
"Kenya"	26469	3375	0	-8	2	80	0.09	2	6680	0.08		
"Iran, Islamic Republic of"	25984	25252	0	-46	166	72	0.1	-18	5612	0.13		
"Togo"	24720	24714	0	14	-5	153	0.01	10	7318	0.08		
"Tunisia"	24264	6111	0	10	2	78	0.10	-1	3411	0.06		
"Dominican Republic"	23915	11413	0	15	6	67	0.1	5	6446	0.22		
"Angola"	23784	21475	0	21	-5	100	0.05	-11	7692	0.06		
"Macedonia, North"	23275	21346	0	19	22	103	0.05	8	1348	0.09		
"Cameroon"	22875	17625	0	-10	-9	116	0.03	8	7279	0.14		
"Bahamas"	21051	19888	0	71	10	115	0.03	-8	6248	0.19		
"Bosnia and Herzegovina"	20083	18375	0	5	13	94	0.06	3	2228	0.07		
"Guatemala"	20024	14078	0	8	-3	68	0.1	7	5828	0.15		
"Guinea"	19223	-96250	0	47	62	135	0.02	7	9140	0.19		
"Burkina Faso"	17751	17450	0	5	80	136	0.02	5	6109	0.05		
"Ethiopia"	15256	14030	0	-28	83	90	0.07	1	6305	0.11		
"Niger"	14961	14858	0	11	75	162	0	13	5715	0.09		
"Yemen"	12857	12843	0	6	19	107	0.04	11	5706	0.11		
"Uzbekistan"	11631	11583	0	-24	293	74	0.1	16	3412	0.12		
"El Salvador"	11595	6574	0	13	46	88	0.07	9	4914	0.15		
"Albania"	10727	9261	0	5	1	121	0.03	6	1886	0.13		
"Jamaica"	10366	10215	0	-11	61	137	0.02	-2	6759	0.22		
"Sudan"	9682	9610	0	-16	-6	122	0.03	-2		0.13		
"Azerbaijan"	9328	9315	0	21	-57	98	0.05	5	3712	0.09		
"Uganda"	9125	8633	0	-23	-48	132	0.02	11	5788	0.09		
"Congo"	9115	8360	0	-18	23	154	0.01	-18	6851	0.07		
"Ecuador"	8821	-3015	0	3	14	69	0.1	3	9174	0.12		
"Georgia"	8289	5999	0	9	0	113	0.04	-2	2513	0.09		
"Cambodia"	7532	-60953	0	74	-15	66	0.1	16	2651	0.18		
"Gabon"	7482	7301	0	24	-2	158	0.01	-2	7114	0.11		
"Liberia"	7439	7410	0	13	105	87	0.07	17	11608	0.19		
"Mozambique"	7080	6928	0	15	51	108	0.04	8	6196	0.1		
"Sri Lanka"	6710	-55756	0	-7	-11	85	0.08	-3	4351	0.16		
"Mauritius"	6410	3454	0	-7	12	133	0.02	-2	7320	0.08		
"Gambia"	6114	6106	0	13	21	167	0	7	8260	0.14		
"Chad"	6107	6091	0	46	15	184	0	13	6931	0.16		
"Myanmar"	5114	-27269	0	-5	-55	79	0.10	-1	2536	0.25		
"Mauritania"	5084	5063	0	1	88	146	0.02	1	5817	0.07		
"Guyana"	4736	4590	0	14	37	144	0.02	13	11175	0.21		
"Afghanistan"	4712	4230	0	-13	-45	147	0.02	-8	2990	0.12		
"Zimbabwe"	4615	3897	0	6	98	134	0.02	7	3754	0.39		
"Nepal"	4429	3203	0	18	420	96	0.06	8	1856	0.56		
"Belarus"	4146	-24185	0	-5	9	61	0.2	2	2268	0.23		
"Malawi"	4112	3832	0	-16	6	168	0	0	5169	0.15		
"New Caledonia"	3586	3579	0	2	12	155	0.01	-1	11471	0.2		
"Bonaire, Sint Eustatius and Saba"	3382	3378	0			189	0	20		0.19		
"Tanzania, United Republic of"	3255	2597	0	-42	-55	102	0.05	7	6633	0.1		
"Barbados"	3041	2930	0	21	37	161	0	0	4992	0.21		
"Haiti"	2865	2798	0	11	-17	140	0.02	0	6340	0.18		
"Mongolia"	2603	2555	0	0	3	125	0.03	8	3267	0.22		
"Syrian Arab Republic"	2407	2319	0	-38	41	139	0.02	-3	2496	0.27		
"Sierra Leone"	2281	1974	0	10	39	170	0	10	8820	0.13		
"Equatorial Guinea"	1919	1675	0	56	15	182	0	2	6008	0.11		
"Madagascar"	1916	1079	0	15	53	138	0.02	2	7339	0.08		
"Palestine, State of"	1812	1693	0	-37	-15	176	0	8	3026	0.1		
"Namibia"	1803	-20496	0	-7	-2	126	0.03	-1	3757	0.37		
"Moldova, Republic of"	1739	-4319	0	-8	44	118	0.03	8	2317	0.08		
"Paraguay"	1698	-362	0	14	324	92	0.06	0	7311	0.15		
"United States Minor Outlying Islands"	1586	-9527	0	54	-100	177	0	0		0.21		
"Bolivia, Plurinational State of"	1124	345	0	-16	-17	106	0.04	-3	7978	0.11		
"Suriname"	1120	1106	0	-11	-9	173	0	1	9050	0.14		
"Seychelles"	1060	-4016	0	0	-56	187	0	-7	6627	0.06		
"Montenegro"	1046	1003	0	-30	181	152	0.01	0	2382	0.08		
"Rwanda"	997	822	0	-39	237	159	0.01	17	5437	0.08		
"Turkmenistan"	939	938	0	-52	-39	148	0.02	4	3495	0.15		
"Nicaragua"	857	-810	0	-10	-27	104	0.05	4	5888	0.1		
"Saint Vincent and the Grenadines"	850	822	0	31	10	196	0	3	6798	0.14		
"British Indian Ocean Territory"	845	842	0			219	0	-9		0.67		
"Honduras"	795	-9026	0	-1	-85	99	0.05	4	6104	0.16		
"Cuba"	775	59	0	-18	-33	145	0.02	-13	7148	0.09		
"Aruba"	747	702	0	4	545	175	0	-3	4917	0.3		
"Armenia"	744	567	0	-25	23	131	0.02	6	3323	0.15		
"Bermuda"	730	-660	0	-47	23	169	0	-3	8006	0.28		
"Faroe Islands"	688	572	0	21	-15	172	0	7	1404	0.27		
"Curaçao"	659	636	0	11	158	163	0	-12		0.24		
"Eswatini"	607	-1316	0	-55	-81	160	0	1	1597	0.74		
"Central African Republic"	599	542	0	26	121	199	0	7	6606	0.08		
"Cayman Islands"	594	558	0	0	12	123	0.03	5	7522	0.35		
"French Polynesia"	577	562	0	5	-58	165	0	1	13300	0.24		
"Tokelau"	542	151	0	-25	-77	226	0	-33	11566	0.22		
"Botswana"	532	307	0	-17	-3	124	0.03	2	2968	0.52		
"Grenada"	492	88	0	1	105	191	0	-1	4157	0.2		
"Brunei Darussalam"	434	192	0	-25	-41	109	0.04	26	5185	0.11		
"Venezuela, Bolivarian Republic of"	390	308	0	-19	-60	117	0.03	-11	8121	0.16		
"Maldives"	375	361	0	-10	6	151	0.01	-3	4478	0.08		
"Saint Lucia"	363	358	0	31	41	171	0	-10	5321	0.23		
"Andorra"	359	179	0	5	15	166	0	2	610	0.52		
"Somalia"	351	234	0	-30	-96	150	0.01	9	5305	0.16		
"Guinea-Bissau"	335	335	0	94	-16	195	0	2	5802	0.16		
"Belize"	330	-20377	0	3	17	179	0	1	5006	0.18		
"Nauru"	329	307	0		-73	211	0	18	6014	0.27		
"British Virgin Islands"	316	69	0		-100	156	0.01	8	7242	0.27		
"South Sudan"	294	294	0	43	67	194	0	12		0.25		
"Papua New Guinea"	276	106	0	-8	-80	143	0.02	-1	4973	0.17		
"Djibouti"	229	227	0	-16	-22	130	0.02	5	6387	0.22		
"Turks and Caicos Islands"	224	192	0	132	76	193	0	-3	3491	0.74		
"Saint Kitts and Nevis"	214	196	0	2	20	201	0	-12	5440	0.41		
"Comoros"	148	140	0	4	308	192	0	18	5731	0.22		
"Falkland Islands (Malvinas)"	140	10	0		-38	207	0	2	12325	0.46		
"Greenland"	128	-1975	0	74	1939	180	0	6	3482	0.44		
"Dominica"	109	54	0	-34	-14	185	0	8	4908	0.65		
"Kyrgyzstan"	105	85	0	-2	-59	127	0.03	1	2892	0.2		
"Sint Maarten (Dutch part)"	103	75	0	-26	-80	213	0	-7		0.43		
"Antigua and Barbuda"	94	28	0	-20	-51	174	0	1	6334	0.27		
"Fiji"	84	48	0	2	-13	157	0.01	-7	7384	0.12		
"Tajikistan"	83	46	0	-42	60	142	0.02	9	2803	0.17		
"Cabo Verde"	78	65	0	-28	-98	181	0	4	5196	0.21		
"French Southern and Antarctic Territories"	75	60	0	-28	62	214	0	14		0.12		
"Northern Mariana Islands"	63	57	0	141	-8	216	0	-19	3811	0.2		
"Eritrea"	51	30	0	41	4	203	0	-8	6303	0.14		
"Burundi"	36	21	0	-30	163	188	0	13	4755	0.14		
"Lao People's Democratic Republic"	30	-2695	0	-77	44	129	0.02	-1	2572	0.28		
"Lesotho"	29	-90	0	-36	-85	164	0	-2	1590	0.78		
"Timor-Leste"	11	-5	0	26	-63	183	0	12	3988	0.22		
"Western Sahara"	1	1	0			221	0	-16	12469	0.9		
"Saint Pierre and Miquelon"	1	-27	0			215	0	10	3489	0.45		
"Bhutan"		-1				178	0	15	1733	0.63		
"Palau"		-1				209	0	1	6232	0.16		
"Samoa"		-2				197	0	-1	6816	0.13		
"Norfolk Island"		-2				222	0	1	5454	0.24		
"Vanuatu"		-3				198	0	-2	6248	0.13		
"Anguilla"		-3				212	0	-5	4397	0.58		
"Solomon Islands"		-4				190	0	0	6301	0.17		
"Tuvalu"		-4				204	0	17	6386	0.21		
"Wallis and Futuna Islands"		-4				218	0	7	10103	0.24		
"Sao Tome and Principe"		-5				210	0	-3	6155	0.31		
"Saint Helena"		-9				217	0	6	7699	0.31		
"Cocos (Keeling) Islands"		-9				225	0	8		0.74		
"Kiribati"		-11				205	0	10	5936	0.13		
"Tonga"		-16				202	0	4	5771	0.16		
"Cook Islands"		-18				206	0	-4	9417	0.22		
"Pitcairn"		-33				227	0	-5		0.23		
"Micronesia, Federated States of"		-44				208	0	-8	7109	0.19		
"Montserrat"		-50				224	0	-7		0.49		
"Marshall Islands"		-225				91	0.06	-1	7455	0.18		
"Christmas Island"		-1729				220	0	3		0.69		
"Free Zones"						186	0	-34		0.92		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Niue"						223	0	7	11410	0.48		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
