Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Indonesia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Indonesia (%)	
"Tunisia"	100670	42884	0	13	89	78	0.10	-1	3411	0.06		
"Morocco"	95122	3665	0	1	26	52	0.3	4	4316	0.07		
"Ireland"	94879	-41723	0	3	25	36	0.5	4	3265	0.1		
"Hungary"	91253	-13754	0	8	12	33	0.6	6	2180	0.09		
"Somalia"	90690	90688	0	4	24	150	0.01	9	5305	0.16		
"Panama"	88087	5775	0	-6	17	60	0.2	1	8657	0.12		
"Guinea"	86219	81368	0	25	25	135	0.02	7	9140	0.19		
"Finland"	85141	-305226	0	-4	40	44	0.4	3	2842	0.07		
"Czech Republic"	81370	-58052	0	-6	16	28	1	4	2987	0.1		
"Guatemala"	72736	71796	0	13	43	68	0.1	7	5828	0.15		
"Gambia"	72010	71999	0	11	40	167	0	7	8260	0.14		
"Congo"	69509	-18285	0	-64		154	0.01	-18	6851	0.07		
"Latvia"	64935	43373	0	-15	-11	77	0.1	7	1575	0.08		
"Mauritius"	61970	58783	0	1	-10	133	0.02	-2	7320	0.08		
"Dominican Republic"	59577	33373	0	1	-2	67	0.1	5	6446	0.22		
"Madagascar"	55123	9661	0	-7	19	138	0.02	2	7339	0.08		
"Norway"	53345	-170086	0	-5	-1	39	0.5	3	3470	0.06		
"Lebanon"	52136	50473	0	-15	2	97	0.06	-12	3592	0.06		
"Uruguay"	41391	27832	0	4	22	95	0.06	0	9836	0.11		
"Ethiopia"	41373	15707	0	-1	5	90	0.07	1	6305	0.11		
"Maldives"	39875	39259	0	-4	31	151	0.01	-3	4478	0.08		
"Bahrain"	39767	-183373	0	-5	5	101	0.05	1	6359	0.08		
"Croatia"	39097	31551	0	-1	-18	63	0.2	6	1362	0.07		
"Luxembourg"	36915	14953	0	24	38	71	0.1	3	1488	0.14		
"Liberia"	36863	33692	0	4	40	87	0.07	17	11608	0.19		
"Costa Rica"	36480	29013	0	3	112	86	0.08	3	6987	0.22		
"Nicaragua"	35987	35971	0	25	121	104	0.05	4	5888	0.1		
"Bulgaria"	35016	-54239	0	-20	-72	57	0.2	6	2237	0.05		
"Austria"	34854	-322741	0	10	-6	27	1	3	1514	0.18		
"Congo, Democratic Republic of the"	33327	-14305	0	58	-54	111	0.04	13	6479	0.14		
"El Salvador"	32112	30563	0	10	95	88	0.07	9	4914	0.15		
"Slovakia"	30649	12334	0	-11	49	38	0.5	4	2664	0.07		
"Fiji"	28916	28318	0	3	38	157	0.01	-7	7384	0.12		
"Nepal"	27252	26876	0	26	63	96	0.06	8	1856	0.56		
"Cameroon"	27211	-9759	0	6	17	116	0.03	8	7279	0.14		
"Paraguay"	24728	-6349	0	-2	24	92	0.06	0	7311	0.15		
"Venezuela, Bolivarian Republic of"	22850	9009	0	39	62	117	0.03	-11	8121	0.16		
"Bolivia, Plurinational State of"	21279	12397	0	-3	25	106	0.04	-3	7978	0.11		
"Trinidad and Tobago"	21164	21110	0	-2	5	128	0.03	-1	6663	0.26		
"Jamaica"	20886	20865	0	4	31	137	0.02	-2	6759	0.22		
"Syrian Arab Republic"	19579	19555	0	-15	-24	139	0.02	-3	2496	0.27		
"Iceland"	17921	10127	0	64	1844	112	0.04	-1	4251	0.05		
"Libya, State of"	17488	7005	0	2	-1	89	0.07	12	3475	0.08		
"Burkina Faso"	16792	8699	0	4	36	136	0.02	5	6109	0.05		
"Equatorial Guinea"	15333	-133870	0	29	136	182	0	2	6008	0.11		
"Afghanistan"	15048	14839	0	-6	-30	147	0.02	-8	2990	0.12		
"Solomon Islands"	14945	13480	0	-5	7	190	0	0	6301	0.17		
"Lithuania"	14515	-14371	0	-19	4	59	0.2	7	1630	0.07		
"Mongolia"	14514	12416	0	24	-37	125	0.03	8	3267	0.22		
"French Polynesia"	13763	13759	0	13	23	165	0	1	13300	0.24		
"Kazakhstan"	13344	-264553	0	-8	-33	58	0.2	6	3017	0.25		
"Cuba"	12492	11703	0	-2	163	145	0.02	-13	7148	0.09		
"New Caledonia"	12248	12168	0	5	-16	155	0.01	-1	11471	0.2		
"Uzbekistan"	11500	-1094	0	37	-7	74	0.1	16	3412	0.12		
"Samoa"	10526	10150	0	15	8	197	0	-1	6816	0.13		
"Mali"	9328	-10999	0	16	38	141	0.02	9	5008	0.1		
"Cyprus"	9198	-9687	0	-7	0	105	0.05	-1	3118	0.09		
"Malawi"	8835	1595	0	-11	-28	168	0	0	5169	0.15		
"Sierra Leone"	8397	6026	0	-28	-30	170	0	10	8820	0.13		
"Albania"	7869	2572	0	-9	18	121	0.03	6	1886	0.13		
"Gabon"	7644	-305061	0	-9	22	158	0.01	-2	7114	0.11		
"Lao People's Democratic Republic"	7577	-30390	0	8	49	129	0.02	-1	2572	0.28		
"Macao, China"	7500	-1423	0	-11	546	81	0.09	15		0.17		
"Serbia"	7393	-8350	0	18	-41	65	0.2	9	2497	0.06		
"Malta"	7170	-83214	0	-18	109	120	0.03	1	3249	0.08		
"Vanuatu"	6991	6841	0	8	67	198	0	-2	6248	0.13		
"Belarus"	6694	-275575	0	21	-5	61	0.2	2	2268	0.23		
"Azerbaijan"	6043	-221666	0	-16	68	98	0.05	5	3712	0.09		
"Tonga"	5987	5987	0	14	40	202	0	4	5771	0.16		
"Uganda"	5569	-6272	0	-22	42	132	0.02	11	5788	0.09		
"Curaçao"	5363	3506	0	5	40	163	0	-12		0.24		
"Comoros"	4831	4831	0	5	11	192	0	18	5731	0.22		
"Niger"	4817	4718	0	0	32	162	0	13	5715	0.09		
"United States Minor Outlying Islands"	4803	3058	0	14	40	177	0	0		0.21		
"Kiribati"	4490	-7113	0	15	72	205	0	10	5936	0.13		
"Zimbabwe"	4243	-76383	0	0	57	134	0.02	7	3754	0.39		
"Montenegro"	4239	1527	0	-5	22	152	0.01	0	2382	0.08		
"Suriname"	4073	3940	0	-6	-28	173	0	1	9050	0.14		
"Guyana"	3837	3835	0	5	53	144	0.02	13	11175	0.21		
"Barbados"	3048	2789	0	-12	-19	161	0	0	4992	0.21		
"Seychelles"	2926	-9091	0	-6	-12	187	0	-7	6627	0.06		
"Dominica"	2903	2878	0	18	59	185	0	8	4908	0.65		
"Kyrgyzstan"	2203	807	0	23	69	127	0.03	1	2892	0.2		
"Eswatini"	2149	1078	0	2	-16	160	0	1	1597	0.74		
"Central African Republic"	2101	1932	0	78	-7	199	0	7	6606	0.08		
"Armenia"	2048	1095	0	-23	119	131	0.02	6	3323	0.15		
"Bahamas"	2040	2035	0	23	27	115	0.03	-8	6248	0.19		
"Macedonia, North"	1930	-11592	0	-1	-23	103	0.05	8	1348	0.09		
"Tajikistan"	1696	1696	0	-19	254	142	0.02	9	2803	0.17		
"Sao Tome and Principe"	1623	1592	0	17	18	210	0	-3	6155	0.31		
"Bermuda"	1579	1579	0	-5	72	169	0	-3	8006	0.28		
"Turkmenistan"	1538	1537	0	-16	-45	148	0.02	4	3495	0.15		
"Micronesia, Federated States of"	1529	1529	0	25	30	208	0	-8	7109	0.19		
"Saint Lucia"	1475	1473	0	16	28	171	0	-10	5321	0.23		
"Marshall Islands"	1432	-2845	0	57	-67	91	0.06	-1	7455	0.18		
"Antigua and Barbuda"	1422	595	0	1	107	174	0	1	6334	0.27		
"Zambia"	1336	-5518	0	-16	-14	119	0.03	-9	5447	0.14		
"Gibraltar"	1328	1327	0	491		114	0.03	-5	2572	0.09		
"Cayman Islands"	1137	1137	0	8	71	123	0.03	5	7522	0.35		
"Namibia"	1060	-710	0	-1	-24	126	0.03	-1	3757	0.37		
"Aruba"	827	827	0	4	-31	175	0	-3	4917	0.3		
"Grenada"	721	721	0	0	23	191	0	-1	4157	0.2		
"Belize"	704	627	0	-4	-4	179	0	1	5006	0.18		
"Cook Islands"	701	160	0	-14	-9	206	0	-4	9417	0.22		
"Palau"	648	645	0	16	231	209	0	1	6232	0.16		
"Burundi"	580	540	0	-24	63	188	0	13	4755	0.14		
"Rwanda"	566	563	0	-56	-32	159	0.01	17	5437	0.08		
"Cabo Verde"	562	462	0	-15	-2	181	0	4	5196	0.21		
"Saint Kitts and Nevis"	547	546	0	-18	83	201	0	-12	5440	0.41		
"British Virgin Islands"	533	-7604	0	-15	-53	156	0.01	8	7242	0.27		
"Northern Mariana Islands"	532	532	0	-3	1	216	0	-19	3811	0.2		
"Wallis and Futuna Islands"	526	526	0	26	316	218	0	7	10103	0.24		
"Nauru"	478	453	0	16	-21	211	0	18	6014	0.27		
"Guinea-Bissau"	428	428	0	-43	-25	195	0	2	5802	0.16		
"Moldova, Republic of"	384	-20002	0	-2	-38	118	0.03	8	2317	0.08		
"Bosnia and Herzegovina"	365	-790	0	-20	-65	94	0.06	3	2228	0.07		
"Palestine, State of"	356	-817	0	-32	-82	176	0	8	3026	0.1		
"Saint Vincent and the Grenadines"	248	248	0	-34	-3	196	0	3	6798	0.14		
"Andorra"	217	92	0	304	381	166	0	2	610	0.52		
"Chad"	207	-1964	0	3	-79	184	0	13	6931	0.16		
"Turks and Caicos Islands"	176	176	0	-13	-67	193	0	-3	3491	0.74		
"Pitcairn"	147	141	0		6897	227	0	-5		0.23		
"Botswana"	145	20	0	-20	-64	124	0.03	2	2968	0.52		
"Bhutan"	78	78	0	-36	-92	178	0	15	1733	0.63		
"Tuvalu"	75	68	0	40	-96	204	0	17	6386	0.21		
"Korea, Democratic People's Republic of"	56	-353	0	-50		200	0	-49	1470	0.87		
"Faroe Islands"	50	34	0			172	0	7	1404	0.27		
"Anguilla"	50	31	0	6	33	212	0	-5	4397	0.58		
"Greenland"	36	-104	0	54	-68	180	0	6	3482	0.44		
"Saint Helena"	34	-316	0	63	-18	217	0	6	7699	0.31		
"Lesotho"	27	24	0	382	-88	164	0	-2	1590	0.78		
"Tokelau"	25	-42	0	10	58	226	0	-33	11566	0.22		
"Montserrat"	1	-4	0			224	0	-7		0.49		
"French Southern and Antarctic Territories"		-8				214	0	14		0.12		
"Eritrea"		-12				203	0	-8	6303	0.14		
"British Indian Ocean Territory"		-18				219	0	-9		0.67		
"Norfolk Island"		-37				222	0	1	5454	0.24		
"South Sudan"		-99				194	0	12		0.25		
"Falkland Islands (Malvinas)"		-166				207	0	2	12325	0.46		
"Cocos (Keeling) Islands"		-219				225	0	8		0.74		
"Christmas Island"		-1002				220	0	3		0.69		
"Niue"		-3520				223	0	7	11410	0.48		
"Indonesia"		-59310				30	0.9	2	5872	0.11		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Western Sahara"						221	0	-16	12469	0.9		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
