Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Ukraine's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Ukraine (%)	
"Somalia"	21610	18116	0	0	16	150	0.01	9	5305	0.16		
"Angola"	21136	21135	0	-22	421	100	0.05	-11	7692	0.06		
"Nepal"	20472	20440	0	10	-11	96	0.06	8	1856	0.56		
"Guinea"	19171	-121255	0	16	23	135	0.02	7	9140	0.19		
"Gabon"	19047	19016	0	31	75	158	0.01	-2	7114	0.11		
"Luxembourg"	15673	-3597	0	27	-10	71	0.1	3	1488	0.14		
"Congo, Democratic Republic of the"	14299	131	0	11	60	111	0.04	13	6479	0.14		
"Madagascar"	11930	9862	0	76	1041	138	0.02	2	7339	0.08		
"New Zealand"	11802	-12098	0	51	22	56	0.2	3	11141	0.09		
"Eritrea"	11510	11454	0	134	637	203	0	-8	6303	0.14		
"Chile"	11210	-42519	0	21	83	43	0.4	6	11582	0.13		
"Congo"	11150	10908	0	43	66	154	0.01	-18	6851	0.07		
"Liberia"	9566	9536	0	-30	3	87	0.07	17	11608	0.19		
"Bolivia, Plurinational State of"	9324	8708	0	123	2267	106	0.04	-3	7978	0.11		
"Suriname"	7586	7191	0	38	40	173	0	1	9050	0.14		
"Uganda"	7562	189	0	-4	276	132	0.02	11	5788	0.09		
"Montenegro"	6775	1689	0	-10	73	152	0.01	0	2382	0.08		
"Sierra Leone"	6683	6451	0	12	27	170	0	10	8820	0.13		
"Bahrain"	6253	5771	0	0	-24	101	0.05	1	6359	0.08		
"Venezuela, Bolivarian Republic of"	5043	4371	0	-36	8	117	0.03	-11	8121	0.16		
"Honduras"	5033	-2894	0	248	-47	99	0.05	4	6104	0.16		
"Panama"	5005	710	0	-36	94	60	0.2	1	8657	0.12		
"Afghanistan"	4554	4106	0	-6	-33	147	0.02	-8	2990	0.12		
"Guyana"	4505	2954	0	60	28	144	0.02	13	11175	0.21		
"Chad"	4215	4213	0	49	923	184	0	13	6931	0.16		
"Ecuador"	4092	-149702	0	96	-39	69	0.1	3	9174	0.12		
"South Sudan"	3927	3927	0	10	157	194	0	12		0.25		
"Cuba"	3487	1892	0	-25	-26	145	0.02	-13	7148	0.09		
"Syrian Arab Republic"	3265	-17861	0	-23	-21	139	0.02	-3	2496	0.27		
"Uruguay"	3196	1332	0	98	297	95	0.06	0	9836	0.11		
"Mauritius"	3130	2358	0	54	-36	133	0.02	-2	7320	0.08		
"Maldives"	2975	1687	0	71	-28	151	0.01	-3	4478	0.08		
"Equatorial Guinea"	2630	2630	0	17	-31	182	0	2	6008	0.11		
"Cambodia"	2371	-24357	0	63	28	66	0.1	16	2651	0.18		
"Cabo Verde"	1782	1588	0	108	48	181	0	4	5196	0.21		
"Niger"	1731	1721	0	31	278	162	0	13	5715	0.09		
"Burundi"	1622	1376	0		1236	188	0	13	4755	0.14		
"Trinidad and Tobago"	1620	1236	0	28	120	128	0.03	-1	6663	0.26		
"Central African Republic"	1393	906	0	18	78	199	0	7	6606	0.08		
"Iceland"	1217	-125973	0	10	18	112	0.04	-1	4251	0.05		
"Rwanda"	1180	296	0	-1	-39	159	0.01	17	5437	0.08		
"El Salvador"	940	-1183	0	35	-33	88	0.07	9	4914	0.15		
"Comoros"	736	704	0	70	-44	192	0	18	5731	0.22		
"Seychelles"	679	395	0	-14	-88	187	0	-7	6627	0.06		
"Barbados"	469	-242	0	78	310	161	0	0	4992	0.21		
"Zambia"	461	144	0	-26	377	119	0.03	-9	5447	0.14		
"Marshall Islands"	430	230	0	-60	-97	91	0.06	-1	7455	0.18		
"Paraguay"	413	-260	0	36	11	92	0.06	0	7311	0.15		
"Botswana"	397	261	0	20	12	124	0.03	2	2968	0.52		
"Namibia"	331	-87	0	10	5	126	0.03	-1	3757	0.37		
"Lao People's Democratic Republic"	254	-675	0	26	-69	129	0.02	-1	2572	0.28		
"Malawi"	227	-58675	0	0	216	168	0	0	5169	0.15		
"Bahamas"	198	185	0	48	-98	115	0.03	-8	6248	0.19		
"Papua New Guinea"	195	24	0		30	143	0.02	-1	4973	0.17		
"British Virgin Islands"	189	85	0	-33	-90	156	0.01	8	7242	0.27		
"Nicaragua"	184	-1600	0	5	-45	104	0.05	4	5888	0.1		
"Guinea-Bissau"	182	182	0	46	6	195	0	2	5802	0.16		
"Gibraltar"	133	130	0	12		114	0.03	-5	2572	0.09		
"Palau"	131	131	0	185	280	209	0	1	6232	0.16		
"Andorra"	108	-73	0	57	34	166	0	2	610	0.52		
"Faroe Islands"	75	-20067	0		121	172	0	7	1404	0.27		
"Jamaica"	74	-380	0		-1	137	0.02	-2	6759	0.22		
"Belize"	69	-1047	0	-70	-86	179	0	1	5006	0.18		
"Grenada"	58	56	0	74	-16	191	0	-1	4157	0.2		
"New Caledonia"	58	36	0	-22	-91	155	0.01	-1	11471	0.2		
"Brunei Darussalam"	54	6	0	4	-59	109	0.04	26	5185	0.11		
"Fiji"	54	-6	0	-1	-72	157	0.01	-7	7384	0.12		
"Zimbabwe"	41	-2379	0	32	-96	134	0.02	7	3754	0.39		
"Sint Maarten (Dutch part)"	39	39	0			213	0	-7		0.43		
"Antigua and Barbuda"	24	13	0	5	20	174	0	1	6334	0.27		
"Cocos (Keeling) Islands"	15	15	0			225	0	8		0.74		
"British Indian Ocean Territory"	15	14	0			219	0	-9		0.67		
"Bermuda"	12	8	0	-28	21	169	0	-3	8006	0.28		
"Cayman Islands"	11	11	0	29	-16	123	0.03	5	7522	0.35		
"Saint Kitts and Nevis"	11	-48	0	-60	-100	201	0	-12	5440	0.41		
"Curaçao"	9	9	0		192	163	0	-12		0.24		
"Saint Vincent and the Grenadines"	7	7	0	-30	321	196	0	3	6798	0.14		
"Lesotho"	6	5	0	-64		164	0	-2	1590	0.78		
"Dominica"	6	1	0	-30	-91	185	0	8	4908	0.65		
"Aruba"	4	4	0	-64		175	0	-3	4917	0.3		
"Tuvalu"	3	-6	0	-37		204	0	17	6386	0.21		
"Cook Islands"	3	-7	0	-84		206	0	-4	9417	0.22		
"Vanuatu"	2	2	0	-59		198	0	-2	6248	0.13		
"Anguilla"	2	-5	0	-33		212	0	-5	4397	0.58		
"French Polynesia"	1	1	0	-57		165	0	1	13300	0.24		
"Macao, China"	1	-33	0	-30		81	0.09	15		0.17		
"Tokelau"		-2				226	0	-33	11566	0.22		
"Saint Helena"		-3				217	0	6	7699	0.31		
"Niue"		-3				223	0	7	11410	0.48		
"Nauru"		-5				211	0	18	6014	0.27		
"Turks and Caicos Islands"		-10				193	0	-3	3491	0.74		
"United States Minor Outlying Islands"		-51				177	0	0		0.21		
"Korea, Democratic People's Republic of"		-58				200	0	-49	1470	0.87		
"Saint Lucia"		-93				171	0	-10	5321	0.23		
"Eswatini"		-471				160	0	1	1597	0.74		
"Falkland Islands (Malvinas)"		-543				207	0	2	12325	0.46		
"Greenland"		-9903				180	0	6	3482	0.44		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Bhutan"						178	0	15	1733	0.63		
"Timor-Leste"						183	0	12	3988	0.22		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Samoa"						197	0	-1	6816	0.13		
"Tonga"						202	0	4	5771	0.16		
"Kiribati"						205	0	10	5936	0.13		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Montserrat"						224	0	-7		0.49		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
