Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Congo's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Congo (%)	
"Burundi"	73	73	0		57	188	0	13	4755	0.14		
"Russian Federation"	69	-104416	0	-48	-42	21	1.3	5	4187	0.09		
"Chad"	60	-158	0	-34	-69	184	0	13	6931	0.16		
"Timor-Leste"	58	58	0			183	0	12	3988	0.22		
"Israel"	54	-206	0	-87	-34	42	0.4	4	5483	0.07		
"Brazil"	54	-76303	0	-31	15	26	1	6	10879	0.09		
"Qatar"	48	-380	0	-22	-88	70	0.1	0	5745	0.06		
"Madagascar"	34	16	0	-61	201	138	0.02	2	7339	0.08		
"Colombia"	33	-1317	0	-36	1176	51	0.3	4	8915	0.13		
"Mali"	32	-72	0	-55	-80	141	0.02	9	5008	0.1		
"Switzerland"	32	-649	0	-47	-72	20	1.5	4	3384	0.07		
"Cyprus"	28	2	0	-7	15	105	0.05	-1	3118	0.09		
"Europe Othr. Nes"	27	-902	0									
"New Caledonia"	26	26	0		112	155	0.01	-1	11471	0.2		
"Tunisia"	25	-8168	0	-53	-82	78	0.10	-1	3411	0.06		
"Mauritania"	24	-11631	0	-57	-55	146	0.02	1	5817	0.07		
"Kuwait"	22	-130	0	-50	-60	76	0.1	-3	5837	0.07		
"Guinea"	15	-133	0	-66	194	135	0.02	7	9140	0.19		
"Slovenia"	13	-1525	0	-13		55	0.2	10	2404	0.07		
"Ukraine"	13	-10997	0	28	-8	48	0.3	7	3255	0.06		
"Romania"	10	-2447	0	-76	-36	37	0.5	6	1891	0.07		
"Sudan"	9	-91	0	-1	-94	122	0.03	-2		0.13		
"Egypt"	9	-13904	0	-83	-95	46	0.3	-1	5219	0.05		
"Argentina"	9	-29502	0	-61	256	50	0.3	-5	10631	0.1		
"Iraq"	7	7	0	-16	-8	62	0.2	3	4107	0.18		
"Niger"	3	1	0	-60	-78	162	0	13	5715	0.09		
"Kenya"	3	-134	0	-86	-25	80	0.09	2	6680	0.08		
"Korea, Democratic People's Republic of"	3	-141	0	-51		200	0	-49	1470	0.87		
"Brunei Darussalam"	2	0	0	-38	-44	109	0.04	26	5185	0.11		
"Philippines"	2	-229	0	-69	-38	34	0.6	2	4354	0.09		
"Ethiopia"	2	-745	0	-77		90	0.07	1	6305	0.11		
"Djibouti"	1	1	0	-73		130	0.02	5	6387	0.22		
"Libya, State of"	1	-110	0			89	0.07	12	3475	0.08		
"Ecuador"	1	-1638	0	-79		69	0.1	3	9174	0.12		
"Bolivia, Plurinational State of"		-1				106	0.04	-3	7978	0.11		
"Burkina Faso"		-1				136	0.02	5	6109	0.05		
"British Virgin Islands"		-2				156	0.01	8	7242	0.27		
"Malawi"		-2				168	0	0	5169	0.15		
"Iceland"		-3				112	0.04	-1	4251	0.05		
"Jamaica"		-3				137	0.02	-2	6759	0.22		
"Azerbaijan"		-6				98	0.05	5	3712	0.09		
"Uganda"		-6				132	0.02	11	5788	0.09		
"Syrian Arab Republic"		-7				139	0.02	-3	2496	0.27		
"Rwanda"		-11				159	0.01	17	5437	0.08		
"Guinea-Bissau"		-16				195	0	2	5802	0.16		
"Bosnia and Herzegovina"		-20				94	0.06	3	2228	0.07		
"Andorra"		-22				166	0	2	610	0.52		
"Zambia"		-31				119	0.03	-9	5447	0.14		
"Serbia"		-35				65	0.2	9	2497	0.06		
"Jordan"		-44				84	0.08	0	5167	0.07		
"Venezuela, Bolivarian Republic of"		-46				117	0.03	-11	8121	0.16		
"Slovakia"		-52				38	0.5	4	2664	0.07		
"Sri Lanka"		-84				85	0.08	-3	4351	0.16		
"Iran, Islamic Republic of"		-85				72	0.1	-18	5612	0.13		
"United States Minor Outlying Islands"		-101				177	0	0		0.21		
"Cambodia"		-105				66	0.1	16	2651	0.18		
"Cuba"		-111				145	0.02	-13	7148	0.09		
"Gambia"		-127				167	0	7	8260	0.14		
"Albania"		-209				121	0.03	6	1886	0.13		
"Luxembourg"		-212				71	0.1	3	1488	0.14		
"Bulgaria"		-215				57	0.2	6	2237	0.05		
"Papua New Guinea"		-295				143	0.02	-1	4973	0.17		
"Estonia"		-467				73	0.1	6	2314	0.06		
"Yemen"		-608				107	0.04	11	5706	0.11		
"Croatia"		-614				63	0.2	6	1362	0.07		
"Malta"		-644				120	0.03	1	3249	0.08		
"Chile"		-981				43	0.4	6	11582	0.13		
"Faroe Islands"		-1103				172	0	7	1404	0.27		
"Peru"		-1156				54	0.2	3	10420	0.13		
"Sweden"		-1674				31	0.9	3	2128	0.07		
"Paraguay"		-2880				92	0.06	0	7311	0.15		
"Uruguay"		-2938				95	0.06	0	9836	0.11		
"Liberia"		-4468				87	0.07	17	11608	0.19		
"Austria"		-5632				27	1	3	1514	0.18		
"Latvia"		-11768				77	0.1	7	1575	0.08		
"Panama"						60	0.2	1	8657	0.12		
"Belarus"						61	0.2	2	2268	0.23		
"Guatemala"						68	0.1	7	5828	0.15		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Myanmar"						79	0.10	-1	2536	0.25		
"Macao, China"						81	0.09	15		0.17		
"Costa Rica"						86	0.08	3	6987	0.22		
"El Salvador"						88	0.07	9	4914	0.15		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Nepal"						96	0.06	8	1856	0.56		
"Honduras"						99	0.05	4	6104	0.16		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Nicaragua"						104	0.05	4	5888	0.1		
"Georgia"						113	0.04	-2	2513	0.09		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Moldova, Republic of"						118	0.03	8	2317	0.08		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Lao People's Democratic Republic"						129	0.02	-1	2572	0.28		
"Armenia"						131	0.02	6	3323	0.15		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Haiti"						140	0.02	0	6340	0.18		
"Tajikistan"						142	0.02	9	2803	0.17		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Somalia"						150	0.01	9	5305	0.16		
"Maldives"						151	0.01	-3	4478	0.08		
"Montenegro"						152	0.01	0	2382	0.08		
"Fiji"						157	0.01	-7	7384	0.12		
"Eswatini"						160	0	1	1597	0.74		
"Barbados"						161	0	0	4992	0.21		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
