Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in British Virgin Islands's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by British Virgin Islands (%)	
"Thailand"	420	-1602	0.2	-28	-27	23	1.2	2	4905	0.09		
"Belgium"	364	95	0.1	84	14	12	2.4	3	2709	0.08		
"Ireland"	247	-69	0.1	218	-21	36	0.5	4	3265	0.1		
"Canada"	233	-2431	0.1	-39	-64	14	2.2	1	5042	0.26		
"Guatemala"	232	232	0.1	23		68	0.1	7	5828	0.15		
"El Salvador"	232	193	0.1	92	-96	88	0.07	9	4914	0.15		
"Benin"	168	168	0.1		114	149	0.01	-2	6481	0.07		
"Australia"	148	93	0.1	-64	-35	24	1.1	1	10262	0.1		
"China"	121	-18245	0	30	-55	2	11.1	5	6416	0.04		
"Dominican Republic"	117	-3957	0	-73	-99	67	0.1	5	6446	0.22		
"Ukraine"	104	-85	0	47	-64	48	0.3	7	3255	0.06		
"Guyana"	103	-429	0	-54	34	144	0.02	13	11175	0.21		
"Japan"	91	-1529	0	99	351	4	3.5	1	6256	0.09		
"Egypt"	84	84	0		1100	46	0.3	-1	5219	0.05		
"Tanzania, United Republic of"	82	82	0		328	102	0.05	7	6633	0.1		
"Slovenia"	81	-98	0	-31	4	55	0.2	10	2404	0.07		
"Mozambique"	72	72	0	-50	-93	108	0.04	8	6196	0.1		
"Slovakia"	71	-156	0	-20	318	38	0.5	4	2664	0.07		
"Chile"	67	-571	0	20	84	43	0.4	6	11582	0.13		
"Czech Republic"	65	-2164	0	-13	2	28	1	4	2987	0.1		
"Grenada"	61	61	0	-23	39	191	0	-1	4157	0.2		
"Angola"	59	59	0	-69	-31	100	0.05	-11	7692	0.06		
"Luxembourg"	42	42	0	2	-2	71	0.1	3	1488	0.14		
"Iceland"	30	-385	0	142		112	0.04	-1	4251	0.05		
"Hungary"	29	-133	0		32	33	0.6	6	2180	0.09		
"Estonia"	17	17	0	19	-39	73	0.1	6	2314	0.06		
"Russian Federation"	16	-12633	0	-60	-50	21	1.3	5	4187	0.09		
"Nigeria"	11	11	0	-47	-99	53	0.2	17	7792	0.1		
"Korea, Republic of"	10	-1405	0	165	271	9	2.8	4	5699	0.09		
"Pakistan"	5	3	0	-83	-45	47	0.3	2	4850	0.11		
"Denmark"	5	-1472	0		-89	35	0.6	5	2182	0.08		
"Mexico"	4	-188	0	-90	-88	13	2.3	2	7039	0.24		
"Finland"	4	-102802	0	-40	0	44	0.4	3	2842	0.07		
"Morocco"	3	3	0			52	0.3	4	4316	0.07		
"Honduras"	3	1	0	333		99	0.05	4	6104	0.16		
"Congo"	2	2	0			154	0.01	-18	6851	0.07		
"Romania"	2	-20	0	-36		37	0.5	6	1891	0.07		
"Belize"	2	-30	0			179	0	1	5006	0.18		
"Norway"	2	-219	0	-19	-88	39	0.5	3	3470	0.06		
"Singapore"	2	-285	0	-77	-78	16	1.9	3	5773	0.07		
"Taipei, Chinese"	1	-155	0	-64		17	1.7	8	5007	0.1		
"New Zealand"	1	-1114	0	-66		56	0.2	3	11141	0.09		
"Bulgaria"		-1				57	0.2	6	2237	0.05		
"Mauritius"		-1				133	0.02	-2	7320	0.08		
"Ecuador"		-3				69	0.1	3	9174	0.12		
"Uzbekistan"		-41				74	0.1	16	3412	0.12		
"Zambia"		-66				119	0.03	-9	5447	0.14		
"Peru"		-106				54	0.2	3	10420	0.13		
"Latvia"		-121				77	0.1	7	1575	0.08		
"Croatia"		-1179				63	0.2	6	1362	0.07		
"Turkey"		-4212				22	1.2	3	4285	0.05		
"Tajikistan"		-12969				142	0.02	9	2803	0.17		
"Hong Kong, China"						5	3.3	3	2841	0.22		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Israel"						42	0.4	4	5483	0.07		
"Bangladesh"						49	0.3	6	4172	0.15		
"Argentina"						50	0.3	-5	10631	0.1		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Lithuania"						59	0.2	7	1630	0.07		
"Panama"						60	0.2	1	8657	0.12		
"Belarus"						61	0.2	2	2268	0.23		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Serbia"						65	0.2	9	2497	0.06		
"Cambodia"						66	0.1	16	2651	0.18		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Tunisia"						78	0.10	-1	3411	0.06		
"Myanmar"						79	0.10	-1	2536	0.25		
"Kenya"						80	0.09	2	6680	0.08		
"Macao, China"						81	0.09	15		0.17		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Ethiopia"						90	0.07	1	6305	0.11		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Bosnia and Herzegovina"						94	0.06	3	2228	0.07		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Nicaragua"						104	0.05	4	5888	0.1		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Yemen"						107	0.04	11	5706	0.11		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Senegal"						110	0.04	4	6632	0.05		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Moldova, Republic of"						118	0.03	8	2317	0.08		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Lao People's Democratic Republic"						129	0.02	-1	2572	0.28		
"Djibouti"						130	0.02	5	6387	0.22		
"Armenia"						131	0.02	6	3323	0.15		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Jamaica"						137	0.02	-2	6759	0.22		
"Madagascar"						138	0.02	2	7339	0.08		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Cuba"						145	0.02	-13	7148	0.09		
"Mauritania"						146	0.02	1	5817	0.07		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Somalia"						150	0.01	9	5305	0.16		
"Maldives"						151	0.01	-3	4478	0.08		
"Montenegro"						152	0.01	0	2382	0.08		
"Togo"						153	0.01	10	7318	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"Fiji"						157	0.01	-7	7384	0.12		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
