Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in United Kingdom's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by United Kingdom (%)	
"Indonesia"	943172	-1104423	0.2	-3	27	30	0.9	2	5872	0.11		
"Pakistan"	892408	-1190814	0.2	-4	37	47	0.3	2	4850	0.11		
"Ukraine"	835604	-280909	0.2	7	62	48	0.3	7	3255	0.06		
"Viet Nam"	803236	-5479451	0.2	0	16	19	1.5	8	3535	0.19		
"Morocco"	782032	-545808	0.2	-9	41	52	0.3	4	4316	0.07		
"Luxembourg"	735029	310896	0.2	16	143	71	0.1	3	1488	0.14		
"Kuwait"	708688	59642	0.2	-6	45	76	0.1	-3	5837	0.07		
"Lithuania"	700895	-629959	0.1	-2	31	59	0.2	7	1630	0.07		
"Chile"	666031	14136	0.1	-7	29	43	0.4	6	11582	0.13		
"Latvia"	577411	-926614	0.1	5	8	77	0.1	7	1575	0.08		
"Ethiopia"	570078	514367	0.1	13	55	90	0.07	1	6305	0.11		
"Bangladesh"	560130	-2738507	0.1	10	86	49	0.3	6	4172	0.15		
"Ghana"	551832	369525	0.1	1	39	82	0.08	8	8888	0.18		
"Philippines"	549392	-189586	0.1	-6	-8	34	0.6	2	4354	0.09		
"Azerbaijan"	525451	195069	0.1	1	18	98	0.05	5	3712	0.09		
"Oman"	505954	365841	0.1	-33	-6	83	0.08	-6	5977	0.08		
"Argentina"	492471	-504327	0.1	-1	37	50	0.3	-5	10631	0.1		
"Gibraltar"	492027	488579	0.1	4	-33	114	0.03	-5	2572	0.09		
"Malta"	481784	363115	0.1	-9	-24	120	0.03	1	3249	0.08		
"Iraq"	443157	440941	0.1	0	3	62	0.2	3	4107	0.18		
"Colombia"	436871	-169037	0.1	-6	-14	51	0.3	4	8915	0.13		
"Iceland"	408882	-165986	0.1	-6	11	112	0.04	-1	4251	0.05		
"Kenya"	395729	-142705	0.1	-6	20	80	0.09	2	6680	0.08		
"Cyprus"	389164	174606	0.1	-3	-36	105	0.05	-1	3118	0.09		
"Bahrain"	378036	292419	0.1	-15	7	101	0.05	1	6359	0.08		
"Bulgaria"	356132	-268240	0.1	-12	-22	57	0.2	6	2237	0.05		
"Slovenia"	338149	-254420	0.1	-3	1	55	0.2	10	2404	0.07		
"Estonia"	335588	-79556	0.1	-1	17	73	0.1	6	2314	0.06		
"Kazakhstan"	331723	-3731542	0.1	-2	31	58	0.2	6	3017	0.25		
"Ship stores and bunkers"	326036	326036	0.1	-20	48	75	0.1	-11		0.16		
"Jordan"	301246	180309	0.1	-9	1	84	0.08	0	5167	0.07		
"Algeria"	300007	-1134738	0.1	-12	16	64	0.2	-8	4584	0.07		
"Angola"	294850	286859	0.1	-8	-12	100	0.05	-11	7692	0.06		
"Macao, China"	258698	255282	0.1	38	75	81	0.09	15		0.17		
"Serbia"	244705	-126332	0.1	4	13	65	0.2	9	2497	0.06		
"Tunisia"	244176	-7455	0.1	4	20	78	0.10	-1	3411	0.06		
"Sri Lanka"	218694	-558954	0	-10	31	85	0.08	-3	4351	0.16		
"Panama"	206113	156853	0	-2	58	60	0.2	1	8657	0.12		
"Lebanon"	204837	153062	0	-22	-3	97	0.06	-12	3592	0.06		
"Peru"	202216	-697890	0	-7	34	54	0.2	3	10420	0.13		
"Senegal"	192340	122963	0	-12	74	110	0.04	4	6632	0.05		
"Côte d'Ivoire"	188947	-320838	0	6	50	93	0.06	9	6793	0.08		
"Croatia"	176605	-13898	0	-8	-34	63	0.2	6	1362	0.07		
"Dominican Republic"	170006	46183	0	3	64	67	0.1	5	6446	0.22		
"Trinidad and Tobago"	144848	4030	0	1	-24	128	0.03	-1	6663	0.26		
"Libya, State of"	141134	-1407167	0	-11	-4	89	0.07	12	3475	0.08		
"Belarus"	131457	41612	0	14	-89	61	0.2	2	2268	0.23		
"Tanzania, United Republic of"	123600	102964	0	0	2	102	0.05	7	6633	0.1		
"Uruguay"	122930	-3512	0	-16	16	95	0.06	0	9836	0.11		
"Georgia"	99661	61014	0	-5	30	113	0.04	-2	2513	0.09		
"Guyana"	98798	72142	0	30	8	144	0.02	13	11175	0.21		
"Namibia"	94546	45697	0	12	57	126	0.03	-1	3757	0.37		
"Bahamas"	92474	80914	0	13	131	115	0.03	-8	6248	0.19		
"Ecuador"	91460	-198190	0	-9	0	69	0.1	3	9174	0.12		
"Iran, Islamic Republic of"	87330	58421	0	-29	17	72	0.1	-18	5612	0.13		
"Falkland Islands (Malvinas)"	84225	80209	0	7	29	207	0	2	12325	0.46		
"Zambia"	82166	69545	0	-2	15	119	0.03	-9	5447	0.14		
"Costa Rica"	73251	-228850	0	-8	28	86	0.08	3	6987	0.22		
"Uzbekistan"	69084	-1811400	0	14	49	74	0.1	16	3412	0.12		
"Mauritius"	67549	-46748	0	-13	8	133	0.02	-2	7320	0.08		
"Cayman Islands"	64762	63818	0	15	51	123	0.03	5	7522	0.35		
"Uganda"	63762	43029	0	3	17	132	0.02	11	5788	0.09		
"Brunei Darussalam"	60926	58571	0	1	-54	109	0.04	26	5185	0.11		
"Barbados"	60638	56222	0	2	9	161	0	0	4992	0.21		
"Cambodia"	59731	-748715	0	-1	29	66	0.1	16	2651	0.18		
"Togo"	59105	57611	0	1	13	153	0.01	10	7318	0.08		
"Cameroon"	58226	-2238	0	0	2	116	0.03	8	7279	0.14		
"Jamaica"	56801	-7919	0	-13	8	137	0.02	-2	6759	0.22		
"Sudan"	56464	44904	0	-11	-41	122	0.03	-2		0.13		
"Zimbabwe"	55501	41355	0	6	6	134	0.02	7	3754	0.39		
"Mozambique"	54554	39453	0	21	-15	108	0.04	8	6196	0.1		
"Yemen"	52690	51607	0	-2	57	107	0.04	11	5706	0.11		
"Gabon"	50839	-1409	0	2	1	158	0.01	-2	7114	0.11		
"Congo, Democratic Republic of the"	46428	37403	0	8	48	111	0.04	13	6479	0.14		
"Sierra Leone"	44304	41396	0	0	25	170	0	10	8820	0.13		
"Guatemala"	42851	-74960	0	-3	13	68	0.1	7	5828	0.15		
"Bermuda"	42581	41031	0	-15	-77	169	0	-3	8006	0.28		
"Equatorial Guinea"	40774	40193	0	6	0	182	0	2	6008	0.11		
"Mali"	38480	31997	0	-5	-49	141	0.02	9	5008	0.1		
"Mongolia"	37976	29351	0	0	89	125	0.03	8	3267	0.22		
"Montenegro"	37404	33687	0	16	81	152	0.01	0	2382	0.08		
"Gambia"	36919	32917	0	-1	24	167	0	7	8260	0.14		
"Bosnia and Herzegovina"	33452	-18226	0	-2	4	94	0.06	3	2228	0.07		
"El Salvador"	32375	15496	0	-1	30	88	0.07	9	4914	0.15		
"Moldova, Republic of"	32281	-24518	0	-15	19	118	0.03	8	2317	0.08		
"Benin"	31186	30436	0	5	41	149	0.01	-2	6481	0.07		
"Albania"	30328	21620	0	0	97	121	0.03	6	1886	0.13		
"Congo"	29075	18232	0	-19	-5	154	0.01	-18	6851	0.07		
"Guinea"	28979	27133	0	3	-19	135	0.02	7	9140	0.19		
"Paraguay"	28334	-142388	0	-14	16	92	0.06	0	7311	0.15		
"Myanmar"	26327	-344342	0	-9	-36	79	0.10	-1	2536	0.25		
"Afghanistan"	25351	19663	0	-4	-16	147	0.02	-8	2990	0.12		
"Rwanda"	24440	2818	0	15	43	159	0.01	17	5437	0.08		
"Antigua and Barbuda"	23958	3757	0	4	-11	174	0	1	6334	0.27		
"Seychelles"	23916	-48123	0	-15	-10	187	0	-7	6627	0.06		
"Saint Helena"	23688	23350	0	5	-9	217	0	6	7699	0.31		
"Maldives"	22788	11442	0	1	49	151	0.01	-3	4478	0.08		
"Saint Lucia"	22387	19177	0	-2	-14	171	0	-10	5321	0.23		
"Burkina Faso"	22236	17260	0	8	33	136	0.02	5	6109	0.05		
"Papua New Guinea"	21506	-103988	0	-9	141	143	0.02	-1	4973	0.17		
"Faroe Islands"	21503	-274265	0	7	-42	172	0	7	1404	0.27		
"Somalia"	20426	19515	0	5	21	150	0.01	9	5305	0.16		
"Malawi"	20285	-1223	0	-1	46	168	0	0	5169	0.15		
"Honduras"	20020	-148948	0	3	101	99	0.05	4	6104	0.16		
"Armenia"	19518	15711	0	3	53	131	0.02	6	3323	0.15		
"Venezuela, Bolivarian Republic of"	19487	-17501	0	-39	82	117	0.03	-11	8121	0.16		
"Djibouti"	18103	13593	0	13	-32	130	0.02	5	6387	0.22		
"Saint Vincent and the Grenadines"	17548	16853	0	1	7	196	0	3	6798	0.14		
"Niue"	17310	17280	0	-13	144150	223	0	7	11410	0.48		
"Bolivia, Plurinational State of"	16458	-14201	0	-17	10	106	0.04	-3	7978	0.11		
"Solomon Islands"	16325	9210	0	73	3266	190	0	0	6301	0.17		
"Mauritania"	15294	-21238	0	-2	25	146	0.02	1	5817	0.07		
"Turkmenistan"	14709	14003	0	-27	-8	148	0.02	4	3495	0.15		
"Botswana"	14315	6953	0	-27	7	124	0.03	2	2968	0.52		
"Niger"	14147	12957	0	14	223	162	0	13	5715	0.09		
"Curaçao"	14119	13741	0	-1	-31	163	0	-12		0.24		
"Lao People's Democratic Republic"	14037	-14085	0	-10	387	129	0.02	-1	2572	0.28		
"Suriname"	13576	11313	0	2	4	173	0	1	9050	0.14		
"Dominica"	13005	12004	0	-2	73	185	0	8	4908	0.65		
"Haiti"	12754	4598	0	-13	23	140	0.02	0	6340	0.18		
"Nepal"	12193	-9275	0	-7	30	96	0.06	8	1856	0.56		
"Grenada"	11929	11536	0	-7	13	191	0	-1	4157	0.2		
"Liberia"	11882	-13501	0	-17	59	87	0.07	17	11608	0.19		
"Madagascar"	11517	-24427	0	-24	52	138	0.02	2	7339	0.08		
"Chad"	11378	10825	0	-5	1	184	0	13	6931	0.16		
"New Caledonia"	11205	10924	0	-12	-33	155	0.01	-1	11471	0.2		
"Bonaire, Sint Eustatius and Saba"	11084	9241	0	7	25	189	0	20		0.19		
"Belize"	10438	-58044	0	-14	31	179	0	1	5006	0.18		
"Anguilla"	10392	9911	0	77	441	212	0	-5	4397	0.58		
"British Virgin Islands"	9477	5836	0	-20	-65	156	0.01	8	7242	0.27		
"Eswatini"	8779	-37740	0	18	166	160	0	1	1597	0.74		
"United States Minor Outlying Islands"	8511	6679	0	4	273	177	0	0		0.21		
"Turks and Caicos Islands"	8505	8370	0	16	42	193	0	-3	3491	0.74		
"Fiji"	8461	5174	0	-22	-2	157	0.01	-7	7384	0.12		
"Saint Kitts and Nevis"	8277	7729	0	1	-14	201	0	-12	5440	0.41		
"South Sudan"	7832	7724	0	31	19	194	0	12		0.25		
"Aruba"	7219	7156	0	-34	-15	175	0	-3	4917	0.3		
"Cuba"	7058	-705	0	-28	-41	145	0.02	-13	7148	0.09		
"French Polynesia"	6254	6109	0	-8	-25	165	0	1	13300	0.24		
"Andorra"	6244	439	0	-10	-37	166	0	2	610	0.52		
"Kyrgyzstan"	5378	-232049	0	-6	-16	127	0.03	1	2892	0.2		
"Nicaragua"	5232	-76665	0	-13	3	104	0.05	4	5888	0.1		
"Burundi"	4680	3903	0	2	8	188	0	13	4755	0.14		
"Palestine, State of"	4679	-4311	0	-18	56	176	0	8	3026	0.1		
"Syrian Arab Republic"	4405	2518	0	-25	-23	139	0.02	-3	2496	0.27		
"Cabo Verde"	4027	3541	0	12	43	181	0	4	5196	0.21		
"Greenland"	3770	-22426	0	0	-2	180	0	6	3482	0.44		
"Central African Republic"	3034	3014	0	8	-25	199	0	7	6606	0.08		
"Lesotho"	2989	2303	0	9	260	164	0	-2	1590	0.78		
"Eritrea"	2934	2807	0	8	13	203	0	-8	6303	0.14		
"Sint Maarten (Dutch part)"	2212	2134	0	13	33	213	0	-7		0.43		
"Comoros"	1776	1038	0	1	21	192	0	18	5731	0.22		
"French Southern and Antarctic Territories"	1632	1626	0	19	36	214	0	14		0.12		
"Montserrat"	1397	1359	0	-11	1	224	0	-7		0.49		
"Bhutan"	1381	1269	0	-7	-5	178	0	15	1733	0.63		
"Tajikistan"	1178	752	0	-13	60	142	0.02	9	2803	0.17		
"Guinea-Bissau"	1023	1022	0	-2	50	195	0	2	5802	0.16		
"Sao Tome and Principe"	899	451	0	-21	-28	210	0	-3	6155	0.31		
"Tonga"	770	675	0	-12	98	202	0	4	5771	0.16		
"Timor-Leste"	684	-1657	0	21	55	183	0	12	3988	0.22		
"Palau"	550	529	0	22	733	209	0	1	6232	0.16		
"Marshall Islands"	452	164	0	-25	-63	91	0.06	-1	7455	0.18		
"Vanuatu"	386	-127	0	-32	58	198	0	-2	6248	0.13		
"Micronesia, Federated States of"	278	220	0	11	-57	208	0	-8	7109	0.19		
"Samoa"	274	257	0	-52	-54	197	0	-1	6816	0.13		
"Nauru"	241	-1128	0	60	194	211	0	18	6014	0.27		
"British Indian Ocean Territory"	167	139	0	60	72	219	0	-9		0.67		
"Norfolk Island"	142	142	0	235	-67	222	0	1	5454	0.24		
"Pitcairn"	141	64	0	-42	26	227	0	-5		0.23		
"Northern Mariana Islands"	120	56	0	-35	145	216	0	-19	3811	0.2		
"Christmas Island"	98	-761	0	24	654	220	0	3		0.69		
"Africa not elsewhere specified"	97	-74	0	28	-68							
"Cocos (Keeling) Islands"	90	-802	0	-37	143	225	0	8		0.74		
"Wallis and Futuna Islands"	58	54	0	8	123	218	0	7	10103	0.24		
"Cook Islands"	56	41	0	-16	273	206	0	-4	9417	0.22		
"Kiribati"	43	33	0	-30	-81	205	0	10	5936	0.13		
"Tuvalu"	30	0	0	-18		204	0	17	6386	0.21		
"Saint Pierre and Miquelon"	12	12	0	31	50	215	0	10	3489	0.45		
"United Kingdom"		-4346220				7	3.2	1	3930	0.06		
"Free Zones"						186	0	-34		0.92		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Western Sahara"						221	0	-16	12469	0.9		
"Tokelau"						226	0	-33	11566	0.22		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
