Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Peru's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Peru (%)	
"Venezuela, Bolivarian Republic of"	87052	78547	0.2	16	147	117	0.03	-11	8121	0.16		
"Sweden"	85968	-171926	0.2	8	39	31	0.9	3	2128	0.07		
"Norway"	84139	57670	0.1	19	55	39	0.5	3	3470	0.06		
"South Africa"	81125	39575	0.1	-7	12	41	0.4	-1	9230	0.07		
"Indonesia"	71545	-337198	0.1	21	32	30	0.9	2	5872	0.11		
"Costa Rica"	71416	-29777	0.1	0	23	86	0.08	3	6987	0.22		
"Finland"	68990	-25714	0.1	17	185	44	0.4	3	2842	0.07		
"Viet Nam"	67246	-771498	0.1	-19	-16	19	1.5	8	3535	0.19		
"Haiti"	58639	58543	0.1	0	12	140	0.02	0	6340	0.18		
"Turkey"	50104	-580740	0.1	5	-46	22	1.2	3	4285	0.05		
"El Salvador"	42009	28355	0.1	5	18	88	0.07	9	4914	0.15		
"Honduras"	38637	27766	0.1	-1	33	99	0.05	4	6104	0.16		
"Bangladesh"	37749	-36411	0.1	113	12	49	0.3	6	4172	0.15		
"Singapore"	33462	-60818	0.1	2	35	16	1.9	3	5773	0.07		
"Portugal"	31238	-15765	0.1	-5	42	40	0.4	2	2788	0.14		
"Uruguay"	30794	-109874	0.1	-13	59	95	0.06	0	9836	0.11		
"Nicaragua"	27863	18729	0	-10	22	104	0.05	4	5888	0.1		
"Free Zones"	25084	-40709	0	-10	27	186	0	-34		0.92		
"Ghana"	24451	24348	0	34	38	82	0.08	8	8888	0.18		
"New Zealand"	24178	-49940	0	-4	25	56	0.2	3	11141	0.09		
"Morocco"	20035	-25719	0	15	316	52	0.3	4	4316	0.07		
"Ireland"	18419	-52425	0	-1	50	36	0.5	4	3265	0.1		
"Paraguay"	16669	-190595	0	0	105	92	0.06	0	7311	0.15		
"Israel"	16153	-76271	0	16	38	42	0.4	4	5483	0.07		
"Trinidad and Tobago"	16000	-5065	0	-4	-5	128	0.03	-1	6663	0.26		
"Jamaica"	14905	14191	0	9	27	137	0.02	-2	6759	0.22		
"Romania"	13974	-10222	0	64	-12	37	0.5	6	1891	0.07		
"Nigeria"	11965	-261125	0	40	-47	53	0.2	17	7792	0.1		
"Greece"	11193	-15593	0	-6	26	45	0.3	4	2847	0.05		
"Saudi Arabia"	9789	-168740	0	12	-13	32	0.7	3	5816	0.07		
"Ukraine"	8457	-144638	0	50	80	48	0.3	7	3255	0.06		
"Côte d'Ivoire"	7637	6795	0	24	78	93	0.06	9	6793	0.08		
"Guyana"	7336	6894	0	19	7	144	0.02	13	11175	0.21		
"Jordan"	6540	5622	0	88	62	84	0.08	0	5167	0.07		
"Lithuania"	6341	-17618	0	9	8	59	0.2	7	1630	0.07		
"Cameroon"	5943	5932	0	24	2138	116	0.03	8	7279	0.14		
"Egypt"	5900	-15461	0	1	16	46	0.3	-1	5219	0.05		
"Cuba"	5613	4810	0	-17	-3	145	0.02	-13	7148	0.09		
"Curaçao"	4387	4323	0	2	-11	163	0	-12		0.24		
"Zambia"	4355	4281	0	61	112	119	0.03	-9	5447	0.14		
"Algeria"	4071	-6188	0	0	-5	64	0.2	-8	4584	0.07		
"Estonia"	4020	-4946	0	11	103	73	0.1	6	2314	0.06		
"Czech Republic"	3989	-74841	0	13	82	28	1	4	2987	0.1		
"Mozambique"	3922	3921	0	185	-9	108	0.04	8	6196	0.1		
"Pakistan"	3718	-31095	0	5	49	47	0.3	2	4850	0.11		
"Latvia"	3209	-7367	0	37	65	77	0.1	7	1575	0.08		
"Bahamas"	3117	-5466	0	-11	-35	115	0.03	-8	6248	0.19		
"Aruba"	2907	2907	0	-3	-5	175	0	-3	4917	0.3		
"Saint Lucia"	2093	2093	0	19	-88	171	0	-10	5321	0.23		
"Suriname"	2012	1996	0	-13	-28	173	0	1	9050	0.14		
"New Caledonia"	1994	1993	0	0	41	155	0.01	-1	11471	0.2		
"Barbados"	1950	1882	0	3	30	161	0	0	4992	0.21		
"Liberia"	1735	1735	0	5	-55	87	0.07	17	11608	0.19		
"Iceland"	1634	947	0	9	-43	112	0.04	-1	4251	0.05		
"Tunisia"	1248	-4694	0	78	4	78	0.10	-1	3411	0.06		
"Austria"	1234	-96112	0	-19	-25	27	1	3	1514	0.18		
"Kuwait"	1226	-350	0	-5	-23	76	0.1	-3	5837	0.07		
"Croatia"	1198	-4274	0	22	-8	63	0.2	6	1362	0.07		
"Lebanon"	1187	1147	0	-29	-8	97	0.06	-12	3592	0.06		
"Libya, State of"	1142	1142	0	-22	-11	89	0.07	12	3475	0.08		
"Serbia"	1133	-2326	0	124	90	65	0.2	9	2497	0.06		
"Cambodia"	1131	-17577	0	82	173	66	0.1	16	2651	0.18		
"Slovenia"	1086	-8301	0	0	49	55	0.2	10	2404	0.07		
"Congo"	876	809	0	46	95	154	0.01	-18	6851	0.07		
"Iraq"	861	860	0	32	3	62	0.2	3	4107	0.18		
"Cyprus"	841	411	0	3	12	105	0.05	-1	3118	0.09		
"Central African Republic"	829	828	0	354	140	199	0	7	6606	0.08		
"Gambia"	811	810	0	-37	-35	167	0	7	8260	0.14		
"Sierra Leone"	788	694	0	-22	541	170	0	10	8820	0.13		
"Saint Kitts and Nevis"	712	711	0	-15	-24	201	0	-12	5440	0.41		
"Kenya"	698	-2025	0	149	-77	80	0.09	2	6680	0.08		
"Belize"	682	504	0	7	30	179	0	1	5006	0.18		
"Benin"	679	607	0	11	102	149	0.01	-2	6481	0.07		
"Hungary"	666	-47879	0	-17	-11	33	0.6	6	2180	0.09		
"Guinea"	631	631	0	71	-7	135	0.02	7	9140	0.19		
"Antigua and Barbuda"	615	615	0	-2	-7	174	0	1	6334	0.27		
"Albania"	605	-198	0	11	66	121	0.03	6	1886	0.13		
"Iran, Islamic Republic of"	604	-293	0	-26	-52	72	0.1	-18	5612	0.13		
"Oman"	597	-33833	0	-48	-57	83	0.08	-6	5977	0.08		
"Tanzania, United Republic of"	551	487	0			102	0.05	7	6633	0.1		
"Bahrain"	551	-1288	0	-16	-47	101	0.05	1	6359	0.08		
"Georgia"	518	-8746	0	-27	-16	113	0.04	-2	2513	0.09		
"Kazakhstan"	513	41	0	71	216	58	0.2	6	3017	0.25		
"Saint Vincent and the Grenadines"	404	404	0	-7	-13	196	0	3	6798	0.14		
"Senegal"	390	-519	0	-11	-85	110	0.04	4	6632	0.05		
"Malta"	384	-107	0	-36	-52	120	0.03	1	3249	0.08		
"Cayman Islands"	368	366	0	-10	17	123	0.03	5	7522	0.35		
"Angola"	364	361	0	-35	94	100	0.05	-11	7692	0.06		
"Qatar"	360	-25622	0	-40	-64	70	0.1	0	5745	0.06		
"Cabo Verde"	318	316	0	-10	-71	181	0	4	5196	0.21		
"Togo"	303	302	0	2	-45	153	0.01	10	7318	0.08		
"Sudan"	247	191	0	-25		122	0.03	-2		0.13		
"Nepal"	206	181	0	6	159	96	0.06	8	1856	0.56		
"Grenada"	200	154	0	-13	49	191	0	-1	4157	0.2		
"Montenegro"	195	191	0		603	152	0.01	0	2382	0.08		
"Yemen"	180	180	0	3		107	0.04	11	5706	0.11		
"Slovakia"	149	-29910	0	-51	-18	38	0.5	4	2664	0.07		
"Kyrgyzstan"	144	144	0		3	127	0.03	1	2892	0.2		
"Dominica"	138	112	0	-24	-25	185	0	8	4908	0.65		
"Sri Lanka"	135	-31989	0	17	-26	85	0.08	-3	4351	0.16		
"Faroe Islands"	124	115	0	77	152	172	0	7	1404	0.27		
"Kiribati"	111	111	0	24		205	0	10	5936	0.13		
"British Virgin Islands"	106	106	0	-39	-81	156	0.01	8	7242	0.27		
"Mauritius"	97	-3936	0	-20	-16	133	0.02	-2	7320	0.08		
"Belarus"	79	-5872	0	-21	339	61	0.2	2	2268	0.23		
"French Polynesia"	77	73	0	-14	612	165	0	1	13300	0.24		
"Djibouti"	72	72	0	28	1103	130	0.02	5	6387	0.22		
"Korea, Democratic People's Republic of"	53	53	0	-65	-96	200	0	-49	1470	0.87		
"Bosnia and Herzegovina"	53	-735	0	54	-85	94	0.06	3	2228	0.07		
"Myanmar"	37	-6480	0	-46	-80	79	0.10	-1	2536	0.25		
"Mauritania"	23	20	0	-65		146	0.02	1	5817	0.07		
"Maldives"	22	21	0	-24		151	0.01	-3	4478	0.08		
"Turks and Caicos Islands"	16	16	0		-25	193	0	-3	3491	0.74		
"Bonaire, Sint Eustatius and Saba"	15	-11640	0			189	0	20		0.19		
"Luxembourg"	15	-17200	0	3	-58	71	0.1	3	1488	0.14		
"Zimbabwe"	14	12	0	-47	-81	134	0.02	7	3754	0.39		
"Anguilla"	12	12	0	20	-5	212	0	-5	4397	0.58		
"Azerbaijan"	12	-319	0	29	-61	98	0.05	5	3712	0.09		
"Afghanistan"	11	-18	0	-71		147	0.02	-8	2990	0.12		
"Macao, China"	10	-227	0	-15	80	81	0.09	15		0.17		
"Somalia"	8	7	0			150	0.01	9	5305	0.16		
"Burkina Faso"	7	0	0	-51	14	136	0.02	5	6109	0.05		
"Congo, Democratic Republic of the"	4	4	0	-39		111	0.04	13	6479	0.14		
"Uganda"	3	-31	0	9	-99	132	0.02	11	5788	0.09		
"British Antarctic Territory"	2	2	0			229	0			1		
"Gibraltar"		-1				114	0.03	-5	2572	0.09		
"Fiji"		-1				157	0.01	-7	7384	0.12		
"Gabon"		-1				158	0.01	-2	7114	0.11		
"Niger"		-1				162	0	13	5715	0.09		
"Palestine, State of"		-1				176	0	8	3026	0.1		
"Burundi"		-1				188	0	13	4755	0.14		
"Eritrea"		-1				203	0	-8	6303	0.14		
"Saint Helena"		-1				217	0	6	7699	0.31		
"Wallis and Futuna Islands"		-1				218	0	7	10103	0.24		
"Armenia"		-2				131	0.02	6	3323	0.15		
"Papua New Guinea"		-2				143	0.02	-1	4973	0.17		
"Lesotho"		-2				164	0	-2	1590	0.78		
"Solomon Islands"		-2				190	0	0	6301	0.17		
"Syrian Arab Republic"		-3				139	0.02	-3	2496	0.27		
"Andorra"		-3				166	0	2	610	0.52		
"Chad"		-3				184	0	13	6931	0.16		
"Bhutan"		-4				178	0	15	1733	0.63		
"Montserrat"		-5				224	0	-7		0.49		
"Mali"		-7				141	0.02	9	5008	0.1		
"Tuvalu"		-9				204	0	17	6386	0.21		
"Comoros"		-11				192	0	18	5731	0.22		
"Brunei Darussalam"		-14				109	0.04	26	5185	0.11		
"Malawi"		-20				168	0	0	5169	0.15		
"Eswatini"		-33				160	0	1	1597	0.74		
"British Indian Ocean Territory"		-39				219	0	-9		0.67		
"Mongolia"		-47				125	0.03	8	3267	0.22		
"Tokelau"		-50				226	0	-33	11566	0.22		
"Rwanda"		-59				159	0.01	17	5437	0.08		
"Sao Tome and Principe"		-60				210	0	-3	6155	0.31		
"Cook Islands"		-63				206	0	-4	9417	0.22		
"Cocos (Keeling) Islands"		-78				225	0	8		0.74		
"Macedonia, North"		-89				103	0.05	8	1348	0.09		
"Moldova, Republic of"		-95				118	0.03	8	2317	0.08		
"Ethiopia"		-132				90	0.07	1	6305	0.11		
"Falkland Islands (Malvinas)"		-260				207	0	2	12325	0.46		
"Seychelles"		-287				187	0	-7	6627	0.06		
"Marshall Islands"		-335				91	0.06	-1	7455	0.18		
"Madagascar"		-508				138	0.02	2	7339	0.08		
"Lao People's Democratic Republic"		-1103				129	0.02	-1	2572	0.28		
"United States Minor Outlying Islands"		-1350				177	0	0		0.21		
"Uzbekistan"		-8835				74	0.1	16	3412	0.12		
"Peru"		-22611				54	0.2	3	10420	0.13		
"Botswana"						124	0.03	2	2968	0.52		
"Tajikistan"						142	0.02	9	2803	0.17		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Greenland"						180	0	6	3482	0.44		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Tonga"						202	0	4	5771	0.16		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Nauru"						211	0	18	6014	0.27		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
