Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Korea, Republic of's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Korea, Republic of (%)	
"Hungary"	4051342	3301700	0.6	33	38	33	0.6	6	2180	0.09		
"United Arab Emirates"	3973534	-3345079	0.6	-8	9	29	0.9	-2	5715	0.08		
"Marshall Islands"	3458098	3165340	0.5	-5	-29	91	0.06	-1	7455	0.18		
"Saudi Arabia"	3323890	-20947244	0.5	-10	1	32	0.7	3	5816	0.07		
"Malta"	3027587	2930214	0.5	46	50	120	0.03	1	3249	0.08		
"Czech Republic"	2954036	1859885	0.5	7	10	28	1	4	2987	0.1		
"Slovakia"	2836025	2171813	0.4	-2	28	38	0.5	4	2664	0.07		
"Spain"	2831963	426727	0.4	-3	23	15	1.9	3	3890	0.05		
"Mozambique"	2593094	2362633	0.4	117	3473	108	0.04	8	6196	0.1		
"Greece"	2029857	721067	0.3	3	134	45	0.3	4	2847	0.05		
"Liberia"	1992197	1983897	0.3	14	-7	87	0.07	17	11608	0.19		
"New Zealand"	1920527	379499	0.3	6	31	56	0.2	3	11141	0.09		
"Uzbekistan"	1879123	1857070	0.3	7	10	74	0.1	16	3412	0.12		
"Israel"	1824550	224768	0.3	7	28	42	0.4	4	5483	0.07		
"Egypt"	1682002	1035875	0.3	1	39	46	0.3	-1	5219	0.05		
"Bangladesh"	1635852	1084288	0.3	3	58	49	0.3	6	4172	0.15		
"Chile"	1573061	-3285750	0.2	-7	81	43	0.4	6	11582	0.13		
"Panama"	1570146	1112257	0.2	-5	15	60	0.2	1	8657	0.12		
"Pakistan"	1545728	1217511	0.2	10	44	47	0.3	2	4850	0.11		
"Sweden"	1520462	-525574	0.2	10	65	31	0.9	3	2128	0.07		
"Slovenia"	1360559	1227904	0.2	-14	69	55	0.2	10	2404	0.07		
"Austria"	1300722	-663594	0.2	6	22	27	1	3	1514	0.18		
"South Africa"	990052	-1636017	0.2	-4	48	41	0.4	-1	9230	0.07		
"Ireland"	989730	-219426	0.2	11	7	36	0.5	4	3265	0.1		
"Iraq"	986404	-4337127	0.2	-14	5	62	0.2	3	4107	0.18		
"Nigeria"	963715	-10404	0.1	-19	87	53	0.2	17	7792	0.1		
"Colombia"	898413	194653	0.1	-3	50	51	0.3	4	8915	0.13		
"Bahamas"	874817	874751	0.1	-24	95	115	0.03	-8	6248	0.19		
"Switzerland"	869903	-2503406	0.1	16	20	20	1.5	4	3384	0.07		
"Norway"	813930	-2104727	0.1	-34	-44	39	0.5	3	3470	0.06		
"Peru"	794051	-2655951	0.1	-8	63	54	0.2	3	10420	0.13		
"Kazakhstan"	769198	-1672931	0.1	18	-61	58	0.2	6	3017	0.25		
"Ecuador"	761572	554300	0.1	-3	102	69	0.1	3	9174	0.12		
"Portugal"	744463	295456	0.1	12	11	40	0.4	2	2788	0.14		
"Denmark"	744391	-319335	0.1	-21	69	35	0.6	5	2182	0.08		
"Jordan"	669332	562652	0.1	0	42	84	0.08	0	5167	0.07		
"Cambodia"	623628	282125	0.1	-1	10	66	0.1	16	2651	0.18		
"Romania"	587962	-39438	0.1	7	16	37	0.5	6	1891	0.07		
"Ukraine"	581765	272950	0.1	19	48	48	0.3	7	3255	0.06		
"Bermuda"	568712	568659	0.1	3	-54	169	0	-3	8006	0.28		
"Finland"	530876	-350727	0.1	11	88	44	0.4	3	2842	0.07		
"Togo"	473601	433353	0.1	-17	-42	153	0.01	10	7318	0.08		
"Libya, State of"	428530	416007	0.1	6	27	89	0.07	12	3475	0.08		
"Qatar"	420141	-11190844	0.1	-5	24	70	0.1	0	5745	0.06		
"Argentina"	390620	-1433007	0.1	-18	16	50	0.3	-5	10631	0.1		
"Oman"	387787	-2611235	0.1	-10	-37	83	0.08	-6	5977	0.08		
"Mongolia"	384986	360037	0.1	10	42	125	0.03	8	3267	0.22		
"Guatemala"	383924	245642	0.1	8	86	68	0.1	7	5828	0.15		
"Myanmar"	367628	-78062	0.1	-7	-40	79	0.10	-1	2536	0.25		
"Kuwait"	349136	-7910995	0.1	-26	-47	76	0.1	-3	5837	0.07		
"Dominican Republic"	311074	219297	0	0	71	67	0.1	5	6446	0.22		
"Morocco"	309622	87530	0	0	14	52	0.3	4	4316	0.07		
"Ghana"	297900	260766	0	4	33	82	0.08	8	8888	0.18		
"Sri Lanka"	287712	146073	0	-5	67	85	0.08	-3	4351	0.16		
"Serbia"	267573	57451	0	27	30	65	0.2	9	2497	0.06		
"Kenya"	258444	211608	0	4	17	80	0.09	2	6680	0.08		
"El Salvador"	254463	156303	0	6	111	88	0.07	9	4914	0.15		
"Lithuania"	224620	105291	0	-8	-10	59	0.2	7	1630	0.07		
"Tunisia"	219285	110666	0	10	41	78	0.10	-1	3411	0.06		
"Cyprus"	214642	208873	0	-47	600	105	0.05	-1	3118	0.09		
"Tanzania, United Republic of"	200122	174246	0	7	32	102	0.05	7	6633	0.1		
"Algeria"	197253	-1705597	0	-39	-22	64	0.2	-8	4584	0.07		
"Costa Rica"	191270	-229664	0	1	72	86	0.08	3	6987	0.22		
"Bahrain"	185234	-488457	0	-2	-52	101	0.05	1	6359	0.08		
"Côte d'Ivoire"	182795	167378	0	10	61	93	0.06	9	6793	0.08		
"Iran, Islamic Republic of"	177556	171866	0	-58	-5	72	0.1	-18	5612	0.13		
"Fiji"	176348	155437	0	-9	35	157	0.01	-7	7384	0.12		
"Bulgaria"	166853	-269330	0	3	6	57	0.2	6	2237	0.05		
"Sudan"	152307	139819	0	0	7	122	0.03	-2		0.13		
"Croatia"	142074	108143	0	-23	46	63	0.2	6	1362	0.07		
"Ethiopia"	140350	59750	0	5	26	90	0.07	1	6305	0.11		
"Honduras"	135461	53827	0	1	25	99	0.05	4	6104	0.16		
"Uruguay"	134004	-3139	0	-2	78	95	0.06	0	9836	0.11		
"Area Nes"	126402	-3321028	0	11	86							
"United States Minor Outlying Islands"	121361	68806	0	10	-3	177	0	0		0.21		
"Paraguay"	121097	64257	0	-9	38	92	0.06	0	7311	0.15		
"Yemen"	118604	70255	0	12	-25	107	0.04	11	5706	0.11		
"Estonia"	116064	44529	0	10	5	73	0.1	6	2314	0.06		
"Kyrgyzstan"	112558	112126	0	5	52	127	0.03	1	2892	0.2		
"Azerbaijan"	108082	106563	0	16	50	98	0.05	5	3712	0.09		
"Georgia"	103228	92024	0	14	5	113	0.04	-2	2513	0.09		
"Angola"	101913	54108	0	-27	27	100	0.05	-11	7692	0.06		
"Senegal"	98817	50112	0	0	28	110	0.04	4	6632	0.05		
"Cameroon"	98063	23520	0	24	204	116	0.03	8	7279	0.14		
"Lebanon"	94944	61556	0	-19	20	97	0.06	-12	3592	0.06		
"Nepal"	85355	81542	0	26	43	96	0.06	8	1856	0.56		
"Haiti"	85035	81285	0	0	31	140	0.02	0	6340	0.18		
"Nicaragua"	79154	28689	0	-8	0	104	0.05	4	5888	0.1		
"Papua New Guinea"	75877	-614091	0	13	42	143	0.02	-1	4973	0.17		
"Latvia"	74906	-48007	0	1	25	77	0.1	7	1575	0.08		
"Lao People's Democratic Republic"	70522	21796	0	-10	42	129	0.02	-1	2572	0.28		
"Belarus"	69497	-12937	0	26	27	61	0.2	2	2268	0.23		
"Congo, Democratic Republic of the"	68658	-782278	0	31	50	111	0.04	13	6479	0.14		
"Palestine, State of"	62653	61247	0	-14	57	176	0	8	3026	0.1		
"Iceland"	52920	35044	0	1	84	112	0.04	-1	4251	0.05		
"Guinea"	52618	-6422	0	11	99	135	0.02	7	9140	0.19		
"Tajikistan"	51491	51446	0	35	12	142	0.02	9	2803	0.17		
"Trinidad and Tobago"	49222	-287578	0	-21	-6	128	0.03	-1	6663	0.26		
"Brunei Darussalam"	45641	-76878	0	-4	-44	109	0.04	26	5185	0.11		
"Burkina Faso"	43627	43144	0	10	23	136	0.02	5	6109	0.05		
"Cayman Islands"	41946	41944	0	-50	8	123	0.03	5	7522	0.35		
"Madagascar"	39706	23741	0	-7	18	138	0.02	2	7339	0.08		
"Luxembourg"	37062	-67056	0	9	101	71	0.1	3	1488	0.14		
"Djibouti"	36234	33608	0	-13	-47	130	0.02	5	6387	0.22		
"Albania"	33999	12932	0	27	48	121	0.03	6	1886	0.13		
"Mauritius"	33315	27499	0	-3	-3	133	0.02	-2	7320	0.08		
"Bolivia, Plurinational State of"	33293	-403235	0	-19	43	106	0.04	-3	7978	0.11		
"Uganda"	33176	27968	0	21	24	132	0.02	11	5788	0.09		
"Samoa"	32374	30305	0	3	-30	197	0	-1	6816	0.13		
"Venezuela, Bolivarian Republic of"	31162	16100	0	-10	62	117	0.03	-11	8121	0.16		
"Rwanda"	31094	29183	0	-12	95	159	0.01	17	5437	0.08		
"Macao, China"	30319	29668	0	-11	44	81	0.09	15		0.17		
"Jamaica"	29863	27038	0	-3	51	137	0.02	-2	6759	0.22		
"Zambia"	28356	-72215	0	4	61	119	0.03	-9	5447	0.14		
"Syrian Arab Republic"	28022	27931	0	-40	-46	139	0.02	-3	2496	0.27		
"Mali"	27333	24188	0	-4	0	141	0.02	9	5008	0.1		
"Congo"	26313	-310175	0	-11	5	154	0.01	-18	6851	0.07		
"Guyana"	25704	24870	0	6	29	144	0.02	13	11175	0.21		
"Afghanistan"	25389	23204	0	-28	-15	147	0.02	-8	2990	0.12		
"New Caledonia"	24343	-317642	0	-37	17	155	0.01	-1	11471	0.2		
"Armenia"	22845	-24535	0	33	38	131	0.02	6	3323	0.15		
"French Polynesia"	21991	20898	0	-25	-35	165	0	1	13300	0.24		
"Cuba"	21194	17225	0	-29	0	145	0.02	-13	7148	0.09		
"Moldova, Republic of"	20561	-10206	0	21	35	118	0.03	8	2317	0.08		
"Zimbabwe"	20404	10777	0	-7	32	134	0.02	7	3754	0.39		
"Maldives"	16568	16508	0	7	164	151	0.01	-3	4478	0.08		
"Benin"	16044	15728	0	-30	107	149	0.01	-2	6481	0.07		
"Northern Mariana Islands"	15799	14546	0	1	-7	216	0	-19	3811	0.2		
"Equatorial Guinea"	14786	-350792	0	134	231	182	0	2	6008	0.11		
"Somalia"	14350	13392	0	-3	-23	150	0.01	9	5305	0.16		
"Seychelles"	13768	8158	0	-13	12	187	0	-7	6627	0.06		
"Palau"	13065	12817	0	-5	157	209	0	1	6232	0.16		
"Bosnia and Herzegovina"	12384	-20117	0	41	21	94	0.06	3	2228	0.07		
"Malawi"	11703	3238	0	3	-14	168	0	0	5169	0.15		
"Aruba"	11612	-81702	0	-20	278	175	0	-3	4917	0.3		
"Tuvalu"	11502	10472	0	75	24	204	0	17	6386	0.21		
"Bhutan"	11035	9355	0	9	-10	178	0	15	1733	0.63		
"Botswana"	10409	9959	0	0	-2	124	0.03	2	2968	0.52		
"Kiribati"	10273	6853	0	-6	17	205	0	10	5936	0.13		
"Sierra Leone"	8935	-4666	0	5	13	170	0	10	8820	0.13		
"Turkmenistan"	8833	8802	0	-34	-87	148	0.02	4	3495	0.15		
"Namibia"	8803	-7145	0	27	-29	126	0.03	-1	3757	0.37		
"Micronesia, Federated States of"	8138	7515	0	-35	9	208	0	-8	7109	0.19		
"Mauritania"	8000	-19311	0	-2	19	146	0.02	1	5817	0.07		
"Gabon"	7833	-595079	0	-7	-22	158	0.01	-2	7114	0.11		
"Solomon Islands"	7665	-5526	0	-14	-79	190	0	0	6301	0.17		
"Macedonia, North"	7607	-624	0	-20	-4	103	0.05	8	1348	0.09		
"Niger"	7301	-42344	0	14	70	162	0	13	5715	0.09		
"Barbados"	6537	5953	0	-11	44	161	0	0	4992	0.21		
"Vanuatu"	6505	-10377	0	-4	41	198	0	-2	6248	0.13		
"Suriname"	6412	2898	0	-6	7	173	0	1	9050	0.14		
"Curaçao"	5292	5083	0	-26	-11	163	0	-12		0.24		
"Belize"	4168	1395	0	-19	29	179	0	1	5006	0.18		
"Saint Kitts and Nevis"	4123	3918	0	11	-88	201	0	-12	5440	0.41		
"Saint Lucia"	3821	3680	0	-6	93	171	0	-10	5321	0.23		
"Central African Republic"	3812	3424	0	71	33	199	0	7	6606	0.08		
"Gambia"	3784	-66	0	-1	39	167	0	7	8260	0.14		
"Cabo Verde"	3764	3729	0	-2	304	181	0	4	5196	0.21		
"Dominica"	3348	2850	0	-7	39	185	0	8	4908	0.65		
"Eswatini"	3124	2372	0	-25	77	160	0	1	1597	0.74		
"South Sudan"	2867	2835	0	73	194	194	0	12		0.25		
"Antigua and Barbuda"	2832	1624	0	-17	48	174	0	1	6334	0.27		
"Montenegro"	2573	-44639	0	-9	2	152	0.01	0	2382	0.08		
"Burundi"	2330	2216	0	-10	40	188	0	13	4755	0.14		
"Grenada"	2278	2180	0	-7	54	191	0	-1	4157	0.2		
"Saint Vincent and the Grenadines"	2200	2184	0	-8	188	196	0	3	6798	0.14		
"Timor-Leste"	1869	1610	0	-21	-21	183	0	12	3988	0.22		
"Lesotho"	1768	1614	0	39	1228	164	0	-2	1590	0.78		
"British Virgin Islands"	1415	1405	0	-23	39	156	0.01	8	7242	0.27		
"Andorra"	1082	830	0	27	298	166	0	2	610	0.52		
"Gibraltar"	1023	1015	0	26	-98	114	0.03	-5	2572	0.09		
"Eritrea"	896	-100949	0	-2	19	203	0	-8	6303	0.14		
"Chad"	874	870	0	-13	-5	184	0	13	6931	0.16		
"Comoros"	863	618	0	81	67	192	0	18	5731	0.22		
"Nauru"	728	-17034	0	3	-59	211	0	18	6014	0.27		
"Guinea-Bissau"	574	-1981	0	1	187	195	0	2	5802	0.16		
"Anguilla"	449	426	0	111	39	212	0	-5	4397	0.58		
"Sao Tome and Principe"	403	336	0	-19	-24	210	0	-3	6155	0.31		
"Turks and Caicos Islands"	308	303	0	-16	-49	193	0	-3	3491	0.74		
"Tonga"	248	-1450	0	-9	47	202	0	4	5771	0.16		
"Tokelau"	154	-391	0	135	560	226	0	-33	11566	0.22		
"Falkland Islands (Malvinas)"	111	60	0	-26	-15	207	0	2	12325	0.46		
"Wallis and Futuna Islands"	106	104	0	0	168	218	0	7	10103	0.24		
"British Indian Ocean Territory"	85	77	0		1407	219	0	-9		0.67		
"Sint Maarten (Dutch part)"	44	44	0	310	-4	213	0	-7		0.43		
"Bonaire, Sint Eustatius and Saba"	43	43	0		-52	189	0	20		0.19		
"Saint Helena"	9	-59	0	5		217	0	6	7699	0.31		
"Faroe Islands"	8	-1473	0	-67	-37	172	0	7	1404	0.27		
"Cocos (Keeling) Islands"	4	-83	0	-41	-83	225	0	8		0.74		
"Cook Islands"	3	-10	0	-54	-77	206	0	-4	9417	0.22		
"Montserrat"	3	-267	0	-66		224	0	-7		0.49		
"Greenland"	3	-472	0	-1	-51	180	0	6	3482	0.44		
"Saint Pierre and Miquelon"		-1				215	0	10	3489	0.45		
"Christmas Island"		-1				220	0	3		0.69		
"Western Sahara"		-1				221	0	-16	12469	0.9		
"Pitcairn"		-4				227	0	-5		0.23		
"Niue"		-282				223	0	7	11410	0.48		
"French Southern and Antarctic Territories"		-2152				214	0	14		0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Free Zones"						186	0	-34		0.92		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Norfolk Island"						222	0	1	5454	0.24		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
