Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Australia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Australia (%)	
"Congo"	837	-186348	0	-24	1025	154	0.01	-18	6851	0.07		
"Belarus"	711	-6780	0	51	-78	61	0.2	2	2268	0.23		
"Serbia"	678	-51129	0	-10	-54	65	0.2	9	2497	0.06		
"Uzbekistan"	640	348	0	84	-90	74	0.1	16	3412	0.12		
"Equatorial Guinea"	621	620	0	13	1	182	0	2	6008	0.11		
"Cameroon"	610	-345	0	-11	21	116	0.03	8	7279	0.14		
"Moldova, Republic of"	538	-1769	0	39	1229	118	0.03	8	2317	0.08		
"South Sudan"	461	440	0	31	22	194	0	12		0.25		
"Antigua and Barbuda"	418	337	0	-13	6	174	0	1	6334	0.27		
"Saint Kitts and Nevis"	402	269	0	-3	-56	201	0	-12	5440	0.41		
"Cuba"	399	-7837	0	-19	116	145	0.02	-13	7148	0.09		
"Bermuda"	391	222	0	7	-76	169	0	-3	8006	0.28		
"Afghanistan"	391	-943	0	-36	-98	147	0.02	-8	2990	0.12		
"Curaçao"	299	203	0	-25	-49	163	0	-12		0.24		
"Belize"	254	-2886	0	-1	-62	179	0	1	5006	0.18		
"Niue"	218	-17	0	16	-42	223	0	7	11410	0.48		
"Grenada"	215	211	0	-5	2	191	0	-1	4157	0.2		
"Haiti"	194	-1570	0	4	-62	140	0.02	0	6340	0.18		
"Bosnia and Herzegovina"	193	-12796	0	-25	3	94	0.06	3	2228	0.07		
"Central African Republic"	148	142	0	-30	176	199	0	7	6606	0.08		
"Saint Vincent and the Grenadines"	144	138	0	-28	-86	196	0	3	6798	0.14		
"Africa not elsewhere specified"	136	35	0		-44							
"Chad"	128	113	0	14	-52	184	0	13	6931	0.16		
"Niger"	117	-1602	0	-51	-4	162	0	13	5715	0.09		
"Falkland Islands (Malvinas)"	116	110	0	-18	231	207	0	2	12325	0.46		
"Gibraltar"	101	90	0	67	-79	114	0.03	-5	2572	0.09		
"Tajikistan"	81	76	0	-32	1406	142	0.02	9	2803	0.17		
"Gambia"	69	58	0	33	-21	167	0	7	8260	0.14		
"British Virgin Islands"	55	-93	0	-19	-72	156	0.01	8	7242	0.27		
"Syrian Arab Republic"	44	-1718	0	-49	-89	139	0.02	-3	2496	0.27		
"Eswatini"	42	-440	0	-14	57	160	0	1	1597	0.74		
"Turks and Caicos Islands"	32	-24	0	45	762	193	0	-3	3491	0.74		
"Lesotho"	26	-356	0	17	204	164	0	-2	1590	0.78		
"Cabo Verde"	14	-38	0	79	81	181	0	4	5196	0.21		
"Anguilla"	11	-14	0		-51	212	0	-5	4397	0.58		
"Pitcairn"	9	7	0	-57		227	0	-5		0.23		
"Turkmenistan"	5	-10	0	-72	-85	148	0.02	4	3495	0.15		
"Dominica"	5	-69	0	-44	-95	185	0	8	4908	0.65		
"Western Sahara"	3	3	0		-83	221	0	-16	12469	0.9		
"Guinea-Bissau"	2	-9	0		-89	195	0	2	5802	0.16		
"Montserrat"		-17				224	0	-7		0.49		
"Sao Tome and Principe"		-60				210	0	-3	6155	0.31		
"Comoros"		-103				192	0	18	5731	0.22		
"Saint Helena"		-232				217	0	6	7699	0.31		
"Australia"		-582687				24	1.1	1	10262	0.1		
"Andorra"						166	0	2	610	0.52		
"Faroe Islands"						172	0	7	1404	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"Greenland"						180	0	6	3482	0.44		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Tokelau"						226	0	-33	11566	0.22		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
