Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Armenia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Armenia (%)	
"Bolivia, Plurinational State of"		-13				106	0.04	-3	7978	0.11		
"Bahrain"		-17				101	0.05	1	6359	0.08		
"Panama"		-18				60	0.2	1	8657	0.12		
"Mozambique"		-19				108	0.04	8	6196	0.1		
"Nicaragua"		-24				104	0.05	4	5888	0.1		
"Nepal"		-32				96	0.06	8	1856	0.56		
"Papua New Guinea"		-36				143	0.02	-1	4973	0.17		
"Greenland"		-37				180	0	6	3482	0.44		
"Korea, Democratic People's Republic of"		-56				200	0	-49	1470	0.87		
"Barbados"		-95				161	0	0	4992	0.21		
"Bonaire, Sint Eustatius and Saba"		-115				189	0	20		0.19		
"Togo"		-130				153	0.01	10	7318	0.08		
"Honduras"		-148				99	0.05	4	6104	0.16		
"Guatemala"		-159				68	0.1	7	5828	0.15		
"Zambia"		-160				119	0.03	-9	5447	0.14		
"Tanzania, United Republic of"		-165				102	0.05	7	6633	0.1		
"Cameroon"		-166				116	0.03	8	7279	0.14		
"Congo, Democratic Republic of the"		-189				111	0.04	13	6479	0.14		
"El Salvador"		-191				88	0.07	9	4914	0.15		
"Lao People's Democratic Republic"		-193				129	0.02	-1	2572	0.28		
"Montenegro"		-221				152	0.01	0	2382	0.08		
"Cuba"		-256				145	0.02	-13	7148	0.09		
"Sierra Leone"		-256				170	0	10	8820	0.13		
"Faroe Islands"		-322				172	0	7	1404	0.27		
"Madagascar"		-409				138	0.02	2	7339	0.08		
"Bosnia and Herzegovina"		-531				94	0.06	3	2228	0.07		
"Ethiopia"		-587				90	0.07	1	6305	0.11		
"Mauritius"		-615				133	0.02	-2	7320	0.08		
"Uganda"		-629				132	0.02	11	5788	0.09		
"Anguilla"		-906				212	0	-5	4397	0.58		
"Colombia"		-1116				51	0.3	4	8915	0.13		
"Paraguay"		-1305				92	0.06	0	7311	0.15		
"Macedonia, North"		-1418				103	0.05	8	1348	0.09		
"Peru"		-1446				54	0.2	3	10420	0.13		
"Albania"		-1595				121	0.03	6	1886	0.13		
"Côte d'Ivoire"		-1753				93	0.06	9	6793	0.08		
"Myanmar"		-2370				79	0.10	-1	2536	0.25		
"Costa Rica"		-2527				86	0.08	3	6987	0.22		
"Sri Lanka"		-2764				85	0.08	-3	4351	0.16		
"Malawi"		-3704				168	0	0	5169	0.15		
"Cambodia"		-4659				66	0.1	16	2651	0.18		
"Ecuador"		-16106				69	0.1	3	9174	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Liberia"						87	0.07	17	11608	0.19		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Angola"						100	0.05	-11	7692	0.06		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Djibouti"						130	0.02	5	6387	0.22		
"Guinea"						135	0.02	7	9140	0.19		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Mali"						141	0.02	9	5008	0.1		
"Guyana"						144	0.02	13	11175	0.21		
"Mauritania"						146	0.02	1	5817	0.07		
"Benin"						149	0.01	-2	6481	0.07		
"Congo"						154	0.01	-18	6851	0.07		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Gabon"						158	0.01	-2	7114	0.11		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Aruba"						175	0	-3	4917	0.3		
"Bhutan"						178	0	15	1733	0.63		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Free Zones"						186	0	-34		0.92		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Nauru"						211	0	18	6014	0.27		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
