Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Denmark's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Denmark (%)	
"South Africa"	223007	132810	0.2	-8	2	41	0.4	-1	9230	0.07		
"Cambodia"	201722	80299	0.2	-6	64	66	0.1	16	2651	0.18		
"Morocco"	198309	166243	0.2	4	45	52	0.3	4	4316	0.07		
"Egypt"	194630	142861	0.2	3	20	46	0.3	-1	5219	0.05		
"Serbia"	185881	115697	0.1	6	24	65	0.2	9	2497	0.06		
"Marshall Islands"	184357	-305236	0.1	58	1347	91	0.06	-1	7455	0.18		
"New Zealand"	176337	92125	0.1	8	4	56	0.2	3	11141	0.09		
"Chile"	165226	17883	0.1	1	28	43	0.4	6	11582	0.13		
"Bulgaria"	149176	-80795	0.1	9	23	57	0.2	6	2237	0.05		
"Lebanon"	146950	142612	0.1	6	213	97	0.06	-12	3592	0.06		
"Dominican Republic"	145757	138357	0.1	11	109	67	0.1	5	6446	0.22		
"Slovenia"	135067	-332237	0.1	8	37	55	0.2	10	2404	0.07		
"Indonesia"	128714	-113984	0.1	-8	11	30	0.9	2	5872	0.11		
"Qatar"	122163	29614	0.1	7	4	70	0.1	0	5745	0.06		
"Oman"	119338	110464	0.1	1	-2	83	0.08	-6	5977	0.08		
"Argentina"	109497	-77369	0.1	-10	12	50	0.3	-5	10631	0.1		
"Bangladesh"	103395	-888193	0.1	6	75	49	0.3	6	4172	0.15		
"Croatia"	101311	32357	0.1	-7	-22	63	0.2	6	1362	0.07		
"Kuwait"	98010	64633	0.1	4	-7	76	0.1	-3	5837	0.07		
"Nigeria"	94341	-138160	0.1	6	10	53	0.2	17	7792	0.1		
"Luxembourg"	93114	-103956	0.1	15	-18	71	0.1	3	1488	0.14		
"Pakistan"	81835	-191185	0.1	-1	18	47	0.3	2	4850	0.11		
"Algeria"	69398	69060	0.1	3	20	64	0.2	-8	4584	0.07		
"Colombia"	69106	53930	0.1	2	37	51	0.3	4	8915	0.13		
"Bahrain"	66357	59380	0.1	26	55	101	0.05	1	6359	0.08		
"Belarus"	64654	10779	0.1	-6	24	61	0.2	2	2268	0.23		
"Peru"	63849	-52223	0.1	12	14	54	0.2	3	10420	0.13		
"Gibraltar"	62508	62219	0.1	102	427	114	0.03	-5	2572	0.09		
"Cyprus"	60741	37656	0	6	-28	105	0.05	-1	3118	0.09		
"Panama"	58420	37117	0	2	6	60	0.2	1	8657	0.12		
"Malta"	54477	24853	0	-1	38	120	0.03	1	3249	0.08		
"Yemen"	53367	53361	0	9	0	107	0.04	11	5706	0.11		
"Iraq"	50216	49789	0	15	-21	62	0.2	3	4107	0.18		
"Ghana"	48664	45042	0	-30	14	82	0.08	8	8888	0.18		
"Uruguay"	45495	31197	0	-5	47	95	0.06	0	9836	0.11		
"Jordan"	43677	42890	0	-1	12	84	0.08	0	5167	0.07		
"Iran, Islamic Republic of"	42177	32274	0	-36	7	72	0.1	-18	5612	0.13		
"Kenya"	37874	26189	0	7	39	80	0.09	2	6680	0.08		
"Sri Lanka"	33272	7822	0	1	4	85	0.08	-3	4351	0.16		
"Libya, State of"	31774	-188767	0	3	3	89	0.07	12	3475	0.08		
"Ethiopia"	29906	28421	0	15	28	90	0.07	1	6305	0.11		
"Senegal"	29679	29454	0	17	99	110	0.04	4	6632	0.05		
"Kazakhstan"	29181	27386	0	-5	-35	58	0.2	6	3017	0.25		
"Costa Rica"	27058	21372	0	18	76	86	0.08	3	6987	0.22		
"Burkina Faso"	26599	26495	0	49	39	136	0.02	5	6109	0.05		
"Liberia"	26382	-70953	0	25	487	87	0.07	17	11608	0.19		
"Albania"	22351	20537	0	-1	23	121	0.03	6	1886	0.13		
"Moldova, Republic of"	20506	18977	0	12	30	118	0.03	8	2317	0.08		
"Angola"	20472	20096	0	32	-55	100	0.05	-11	7692	0.06		
"Bosnia and Herzegovina"	20171	-1758	0	7	8	94	0.06	3	2228	0.07		
"Ecuador"	19615	-10408	0	0	1	69	0.1	3	9174	0.12		
"Tunisia"	19227	469	0	-2	-1	78	0.10	-1	3411	0.06		
"Uganda"	18767	14787	0	7	86	132	0.02	11	5788	0.09		
"Côte d'Ivoire"	17640	16579	0	14	-13	93	0.06	9	6793	0.08		
"Bahamas"	16300	16057	0	-5	39	115	0.03	-8	6248	0.19		
"Trinidad and Tobago"	15990	15584	0	13	37	128	0.03	-1	6663	0.26		
"Guatemala"	14584	12191	0	1	21	68	0.1	7	5828	0.15		
"Saint Vincent and the Grenadines"	14239	14239	0	88	26	196	0	3	6798	0.14		
"Macedonia, North"	14149	2899	0	3	64	103	0.05	8	1348	0.09		
"Armenia"	13943	13132	0	21	180	131	0.02	6	3323	0.15		
"Guinea"	13520	13499	0	14	42	135	0.02	7	9140	0.19		
"Sudan"	13075	13069	0	11	26	122	0.03	-2		0.13		
"Zimbabwe"	12691	12523	0	21	121	134	0.02	7	3754	0.39		
"Georgia"	11940	9822	0	-2	26	113	0.04	-2	2513	0.09		
"Uzbekistan"	11459	11363	0	12	-60	74	0.1	16	3412	0.12		
"Mali"	11271	11263	0	2	13	141	0.02	9	5008	0.1		
"El Salvador"	10506	9547	0	-3	-12	88	0.07	9	4914	0.15		
"Central African Republic"	9958	9514	0	25	211	199	0	7	6606	0.08		
"Suriname"	9852	9302	0	103	130	173	0	1	9050	0.14		
"Venezuela, Bolivarian Republic of"	9634	8556	0	-9	161	117	0.03	-11	8121	0.16		
"Namibia"	9528	6999	0	-2	94	126	0.03	-1	3757	0.37		
"Cuba"	9402	9326	0	-12	11	145	0.02	-13	7148	0.09		
"New Caledonia"	8913	8881	0	7	13	155	0.01	-1	11471	0.2		
"Cameroon"	8650	7489	0	23	1	116	0.03	8	7279	0.14		
"Tanzania, United Republic of"	8597	4488	0	-4	-24	102	0.05	7	6633	0.1		
"Azerbaijan"	8535	8455	0	-13	-37	98	0.05	5	3712	0.09		
"Papua New Guinea"	8495	7696	0	-1	16	143	0.02	-1	4973	0.17		
"Mauritius"	8441	-648	0	-10	-3	133	0.02	-2	7320	0.08		
"Congo, Democratic Republic of the"	8425	8361	0	16	35	111	0.04	13	6479	0.14		
"Turkmenistan"	8394	8393	0	-3	-41	148	0.02	4	3495	0.15		
"Palestine, State of"	7862	7742	0	19	20	176	0	8	3026	0.1		
"Togo"	7447	6968	0	20	43	153	0.01	10	7318	0.08		
"Myanmar"	7418	-110629	0	13	-16	79	0.10	-1	2536	0.25		
"Macao, China"	7104	-1600	0	20	62	81	0.09	15		0.17		
"Montenegro"	6991	6901	0	24	227	152	0.01	0	2382	0.08		
"Maldives"	6983	6858	0	3	59	151	0.01	-3	4478	0.08		
"Honduras"	6744	3231	0	-2	-31	99	0.05	4	6104	0.16		
"Bolivia, Plurinational State of"	6444	4279	0	-15	-21	106	0.04	-3	7978	0.11		
"Jamaica"	6031	5473	0	3	8	137	0.02	-2	6759	0.22		
"Paraguay"	6016	-26640	0	9	-27	92	0.06	0	7311	0.15		
"Barbados"	5926	5285	0	7	48	161	0	0	4992	0.21		
"Guyana"	5721	5468	0	16	-24	144	0.02	13	11175	0.21		
"Afghanistan"	5616	5431	0	-15	-41	147	0.02	-8	2990	0.12		
"Cabo Verde"	5584	5484	0	33	33	181	0	4	5196	0.21		
"Madagascar"	5541	-772	0	2	11	138	0.02	2	7339	0.08		
"Mauritania"	5504	5238	0	0	-21	146	0.02	1	5817	0.07		
"Gambia"	5292	5266	0	6	53	167	0	7	8260	0.14		
"South Sudan"	5244	5241	0	7	22	194	0	12		0.25		
"United States Minor Outlying Islands"	5220	5176	0	-4	51	177	0	0		0.21		
"Djibouti"	5061	4979	0	-1	-5	130	0.02	5	6387	0.22		
"Mongolia"	5036	4909	0	-2	61	125	0.03	8	3267	0.22		
"Congo"	4905	1359	0	-11	5	154	0.01	-18	6851	0.07		
"Niger"	4617	4561	0	16	-3	162	0	13	5715	0.09		
"Seychelles"	4605	-2088	0	-2	46	187	0	-7	6627	0.06		
"Mozambique"	4398	4368	0	16	-23	108	0.04	8	6196	0.1		
"Chad"	4296	4295	0	19	46	184	0	13	6931	0.16		
"Somalia"	4214	4212	0	-6	11	150	0.01	9	5305	0.16		
"Nicaragua"	4049	3029	0	-2	30	104	0.05	4	5888	0.1		
"Zambia"	4037	1990	0	-2	5	119	0.03	-9	5447	0.14		
"Bermuda"	4032	-74728	0	5	15	169	0	-3	8006	0.28		
"Malawi"	4011	-2275	0	7	36	168	0	0	5169	0.15		
"Fiji"	3958	3934	0	5	70	157	0.01	-7	7384	0.12		
"Belize"	3747	3588	0	5	-6	179	0	1	5006	0.18		
"French Polynesia"	3700	3202	0	6	18	165	0	1	13300	0.24		
"Nepal"	3610	-1698	0	-22	46	96	0.06	8	1856	0.56		
"Sierra Leone"	3587	3536	0	10	39	170	0	10	8820	0.13		
"Gabon"	3337	3084	0	-2	34	158	0.01	-2	7114	0.11		
"Lao People's Democratic Republic"	3133	-36812	0	21	153	129	0.02	-1	2572	0.28		
"French Southern and Antarctic Territories"	3073	3064	0	28	173	214	0	14		0.12		
"Syrian Arab Republic"	2956	2611	0	-29	45	139	0.02	-3	2496	0.27		
"Rwanda"	2912	2791	0	16	14	159	0.01	17	5437	0.08		
"Curaçao"	2842	2610	0	-23	-11	163	0	-12		0.24		
"Benin"	2694	2669	0	0	-36	149	0.01	-2	6481	0.07		
"Brunei Darussalam"	2593	2523	0	-12	15	109	0.04	26	5185	0.11		
"Burundi"	2569	1595	0	-2	66	188	0	13	4755	0.14		
"Kyrgyzstan"	2457	2408	0	-2	-20	127	0.03	1	2892	0.2		
"Saint Kitts and Nevis"	2456	1717	0	30	37	201	0	-12	5440	0.41		
"Haiti"	2425	2297	0	-2	27	140	0.02	0	6340	0.18		
"Tajikistan"	2278	2119	0	28	17	142	0.02	9	2803	0.17		
"Kiribati"	2162	2065	0	11	51	205	0	10	5936	0.13		
"Equatorial Guinea"	2151	2151	0	65	-82	182	0	2	6008	0.11		
"Guinea-Bissau"	1770	1763	0	17	115	195	0	2	5802	0.16		
"Grenada"	1728	1708	0	26	-65	191	0	-1	4157	0.2		
"British Virgin Islands"	1477	1472	0	-48	206	156	0.01	8	7242	0.27		
"Bhutan"	1424	1322	0	31	245	178	0	15	1733	0.63		
"Antigua and Barbuda"	1380	291	0	-7	58	174	0	1	6334	0.27		
"Saint Lucia"	993	963	0	13	71	171	0	-10	5321	0.23		
"Eswatini"	966	853	0	29	77	160	0	1	1597	0.74		
"Timor-Leste"	955	936	0	23	79	183	0	12	3988	0.22		
"Cayman Islands"	851	842	0	19	-7	123	0.03	5	7522	0.35		
"Andorra"	668	593	0	-16	-21	166	0	2	610	0.52		
"Sao Tome and Principe"	646	645	0	0	1014	210	0	-3	6155	0.31		
"Comoros"	629	622	0	9	140	192	0	18	5731	0.22		
"Northern Mariana Islands"	507	489	0	48	236	216	0	-19	3811	0.2		
"Aruba"	507	457	0	-23	-45	175	0	-3	4917	0.3		
"Bonaire, Sint Eustatius and Saba"	504	502	0	27	-20	189	0	20		0.19		
"Eritrea"	491	487	0	20	-77	203	0	-8	6303	0.14		
"Africa not elsewhere specified"	477	452	0	-27	45							
"Micronesia, Federated States of"	426	424	0	46	177	208	0	-8	7109	0.19		
"Dominica"	391	389	0	-9	30	185	0	8	4908	0.65		
"Sint Maarten (Dutch part)"	334	322	0	-30	-16	213	0	-7		0.43		
"Samoa"	293	292	0	22	286	197	0	-1	6816	0.13		
"Botswana"	258	256	0	10	-56	124	0.03	2	2968	0.52		
"Solomon Islands"	248	248	0	-26	-37	190	0	0	6301	0.17		
"Turks and Caicos Islands"	233	226	0		104	193	0	-3	3491	0.74		
"Lesotho"	213	211	0	3	113	164	0	-2	1590	0.78		
"British Indian Ocean Territory"	118	66	0	39	9	219	0	-9		0.67		
"Anguilla"	71	71	0	-28	58	212	0	-5	4397	0.58		
"Palau"	59	59	0	24	-32	209	0	1	6232	0.16		
"Tonga"	26	26	0	-40	-7	202	0	4	5771	0.16		
"Falkland Islands (Malvinas)"	20	-165	0	-37	18	207	0	2	12325	0.46		
"Tokelau"	14	-20	0	-51	75	226	0	-33	11566	0.22		
"Vanuatu"	11	9	0	-8	-68	198	0	-2	6248	0.13		
"Nauru"	9	7	0			211	0	18	6014	0.27		
"Tuvalu"	4	4	0		0	204	0	17	6386	0.21		
"Saint Pierre and Miquelon"	3	3	0	11	-99	215	0	10	3489	0.45		
"Cook Islands"	2	2	0	-65	-75	206	0	-4	9417	0.22		
"Pitcairn"		-1				227	0	-5		0.23		
"Saint Helena"		-5				217	0	6	7699	0.31		
"Korea, Democratic People's Republic of"		-104				200	0	-49	1470	0.87		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Free Zones"						186	0	-34		0.92		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
